seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,adaptive_domain,1,1.55,155,10000,3.4430262020874025,685440,109172784,2867312
42,adaptive_domain,2,1.6199999999999999,162,10000,2.6680766723155975,685440,109172784,2867312
42,adaptive_domain,3,2.1399999999999997,214,10000,2.229264952111244,685440,109172784,2867312
42,adaptive_domain,4,2.59,259,10000,2.0331083011984825,489600,109172784,2867312
42,adaptive_domain,5,3.04,304,10000,1.9037704742765427,489600,109172784,2867312
42,adaptive_domain,6,3.0300000000000002,303,10000,1.8828559251141548,342720,109172784,2867312
42,adaptive_domain,7,3.34,334,10000,1.8403502468013764,342720,109172784,2867312
42,adaptive_domain,8,3.7699999999999996,377,10000,1.8121712187695502,342720,109172784,2867312
42,adaptive_domain,9,4.07,407,10000,1.7876020031642914,342720,109172784,2867312
42,adaptive_domain,10,4.52,452,10000,1.7615244501817227,342720,109172784,2867312
42,adaptive_domain,11,4.72,472,10000,1.7418723470389843,342720,109172784,2867312
42,adaptive_domain,12,4.9,490,10000,1.7244357031416893,342720,109172784,2867312
42,adaptive_domain,13,5.11,511,10000,1.7112445678305626,342720,109172784,2867312
42,adaptive_domain,14,5.050000000000001,505,10000,1.7013824729824065,342720,109172784,2867312
42,adaptive_domain,15,5.510000000000001,551,10000,1.690421407570839,342720,109172784,2867312
42,adaptive_domain,16,5.54,554,10000,1.683311860474348,342720,109172784,2867312
42,adaptive_domain,17,5.609999999999999,561,10000,1.67169452860713,342720,109172784,2867312
42,adaptive_domain,18,5.79,579,10000,1.6707017398560047,342720,109172784,2867312
42,adaptive_domain,19,6.03,603,10000,1.6647077974152564,342720,109172784,2867312
42,adaptive_domain,20,6.1,610,10000,1.6620178533691168,342720,109172784,2867312
42,adaptive_domain,21,6.12,612,10000,1.6625156287157536,342720,109172784,2867312
42,adaptive_domain,22,6.58,658,10000,1.6569881534940005,342720,109172784,2867312
42,adaptive_domain,23,6.3100000000000005,631,10000,1.6574845858238638,342720,109172784,2867312
42,adaptive_domain,24,6.15,615,10000,1.655802247684151,342720,109172784,2867312
42,adaptive_domain,25,6.4,640,10000,1.6578545126640796,342720,109172784,2867312
42,adaptive_domain,26,6.5,650,10000,1.6594579299330712,342720,109172784,2867312
42,adaptive_domain,27,6.54,654,10000,1.6612679936921597,342720,109172784,2867312
42,adaptive_domain,28,6.4399999999999995,644,10000,1.6564521303725244,342720,109172784,2867312
42,adaptive_domain,29,6.370000000000001,637,10000,1.66568761646986,342720,109172784,2867312
42,adaptive_domain,30,6.529999999999999,653,10000,1.6679427971875667,342720,109172784,2867312
42,adaptive_quality,1,1.55,155,10000,3.4430262020874025,685440,6384,2867312
42,adaptive_quality,2,1.5699999999999998,157,10000,2.673635949726105,685440,6384,2867312
42,adaptive_quality,3,2.19,219,10000,2.244998208885193,685440,6384,2867312
42,adaptive_quality,4,2.65,265,10000,2.0444082722890378,489600,6384,2867312
42,adaptive_quality,5,3.08,308,10000,1.9055643574333192,489600,6384,2867312
42,adaptive_quality,6,3.09,309,10000,1.8885286850357055,342720,6384,2867312
42,adaptive_quality,7,3.47,347,10000,1.8466494869232177,352512,6384,2867312
42,adaptive_quality,8,3.82,382,10000,1.81674821287632,352512,6384,2867312
42,adaptive_quality,9,3.8699999999999997,387,10000,1.7920060687041284,342720,6384,2867312
42,adaptive_quality,10,4.19,419,10000,1.771056122918129,342720,6384,2867312
