seed,method,rounds,accuracy_percent,paired_difference_vs_pooled_pp,training_sample_exposures,optimizer_steps,training_factor_bytes,control_bytes,final_assembly_bytes,deployment_payload_bytes,evaluation_only_assembly_bytes,train_rank_sample_products,gradient_probe_examples,gradient_probe_rank_sample_products,quality_probe_examples,wall_seconds_including_evaluation,local_train_seconds,gradient_probe_seconds,quality_probe_seconds,control_seconds,gossip_seconds,all_assembly_seconds_including_evaluation,final_assembly_peak_peer_dense_bytes,final_assembly_relative_truncation_energy
42,pooled,30,57.8,0.0,1500000,11730,0,0,0,0,0,24000000,0,0,0,30.164280001074076,29.83295678626746,0,0,0,0,0,0,0
42,pooled_reset,30,57.91,0.10999999999999899,1500000,11730,0,0,0,0,0,24000000,0,0,0,29.163422250188887,28.9416892118752,0,0,0,0,0,0,0
42,fedavg16,30,20.560000000000002,-37.239999999999995,1500000,12000,35251200,0,0,35251200,0,24000000,0,0,0,35.535469631664455,29.922409479506314,0,0,0,4.467188126407564,0.00020981021225452423,0,0
42,mh16,30,10.01,-47.79,1500000,12000,35251200,0,2867312,38118512,83152048,24000000,0,0,0,37.49273869860917,31.62281707674265,0,0,0,4.093742137774825,0.4359155697748065,409600,0.001215651641930839
42,mh_sample,30,7.049999999999999,-50.74999999999999,1500000,12000,20563200,0,2867312,23430512,83152048,14910720,0,0,0,36.892386618070304,31.646853214129806,0,0,0,3.51590877212584,0.3958736388012767,409600,8.543374620507498e-05
42,fixed_quality,30,11.52,-46.28,1500000,12000,20563200,191520,2867312,23622032,83152048,14910720,0,0,57600,35.593655904754996,30.389035165309906,0,0.44566197507083416,0.042983037419617176,2.9744660668075085,0.34933023154735565,409600,0.0002398440607203017
42,fixed_domain,30,12.04,-45.76,1500000,12000,20563200,3275183520,2867312,3298614032,83152048,14910720,0,0,57600,49.42916112951934,30.112826610915363,0,0.457917969673872,11.938730591908097,4.962817025370896,0.3911306085065007,409600,0.00024000542115289734
42,adaptive_quality,30,6.3100000000000005,-51.489999999999995,1500000,12000,11623104,191520,2867312,14681936,83152048,8430736,57600,537600,57600,39.25690827611834,30.649047750979662,2.600668404251337,0.44136867579072714,0.045874955132603645,3.469683379866183,0.37280786503106356,409600,5.8388086031215854e-05
42,adaptive_domain,30,6.529999999999999,-51.269999999999996,1500000,12000,11603520,3275183520,2867312,3289654352,83152048,8418992,57600,537600,57600,51.06350904982537,29.31583511363715,2.259610622189939,0.42967860866338015,11.781124641187489,5.172909924760461,0.3793089287355542,409600,6.242438701010899e-05
43,pooled,30,56.63,0.0,1500000,11730,0,0,0,0,0,24000000,0,0,0,29.972738716751337,29.75708188302815,0,0,0,0,0,0,0
43,pooled_reset,30,56.599999999999994,-0.030000000000007798,1500000,11730,0,0,0,0,0,24000000,0,0,0,29.177420028485358,28.942280956543982,0,0,0,0,0,0,0
43,fedavg16,30,19.89,-36.74000000000001,1500000,12000,35251200,0,0,35251200,0,24000000,0,0,0,35.6343410750851,30.088380500674248,0,0,0,4.454365440644324,0.00013863760977983475,0,0
43,mh16,30,16.72,-39.910000000000004,1500000,12000,35251200,0,2867312,38118512,83152048,24000000,0,0,0,35.92663521040231,30.177157003432512,0,0,0,4.122006915509701,0.4325032467022538,409600,0.0031882270005806684
43,mh_sample,30,8.61,-48.02,1500000,12000,20563200,0,2867312,23430512,83152048,15476160,0,0,0,36.37523416057229,30.863567985594273,0,0,0,3.883885615505278,0.415127320215106,409600,0.0011159113315360304
43,fixed_quality,30,10.37,-46.26,1500000,12000,20563200,191520,2867312,23622032,83152048,15476160,0,0,57600,37.30636584945023,30.998935881070793,0,0.4510037787258625,0.04872742760926485,3.9398932214826345,0.41292399261146784,409600,0.0014936332273230136
43,fixed_domain,30,11.84,-44.79,1500000,12000,20563200,3275183520,2867312,3298614032,83152048,15476160,0,0,57600,49.838085115887225,29.93809351325035,0,0.4365516370162368,12.193842633627355,5.371111556887627,0.39033085480332375,409600,0.0015916227661960556
43,adaptive_quality,30,8.23,-48.400000000000006,1500000,12000,12034368,191520,2867312,15093200,83152048,8904744,57600,537600,57600,39.7706597391516,30.187731607817113,2.5730397338047624,0.443142126314342,0.05161953717470169,4.365218452177942,0.43652949947863817,409600,3.8673201391211833e-05
43,adaptive_domain,30,9.09,-47.540000000000006,1500000,12000,12014784,3275183520,2867312,3290065616,83152048,8895008,57600,537600,57600,53.71300482656807,30.667143806815147,2.3432692205533385,0.4445113576948643,13.176170302554965,4.981314240023494,0.3636441705748439,409600,5.330577418096119e-05
44,pooled,30,57.25,0.0,1500000,11730,0,0,0,0,0,24000000,0,0,0,29.697175269015133,29.474963678978384,0,0,0,0,0,0,0
