seed,method,round,client_id,rank,capacity_ceiling,stable_rank,ema_demand,quality_ema,changed
42,adaptive_domain,1,0,4,4,1.089570184537079,1.089570184537079,0.2723965994067718,False
42,adaptive_domain,1,1,8,8,1.1117543643379155,1.1117543643379155,0.2572809715560126,False
42,adaptive_domain,1,2,16,16,1.1205120300895082,1.1205120300895082,0.28361231802523845,False
42,adaptive_domain,1,3,4,4,1.0744941104408323,1.0744941104408323,0.267731574697153,False
42,adaptive_domain,1,4,8,8,1.057441835535704,1.057441835535704,0.2823296335843713,False
42,adaptive_domain,1,5,16,16,1.0801153691835113,1.0801153691835113,0.26426618963587084,False
42,adaptive_domain,1,6,4,4,1.0559110015420299,1.0559110015420299,0.27328492097171614,False
42,adaptive_domain,1,7,8,8,1.0854014064667712,1.0854014064667712,0.28617049954283585,False
42,adaptive_domain,1,8,16,16,1.0801240043692515,1.0801240043692515,0.2838431334227255,False
42,adaptive_domain,1,9,4,4,1.0362036954521041,1.0362036954521041,0.2934189993150555,False
42,adaptive_domain,1,10,8,8,1.0735254947617268,1.0735254947617268,0.2680745804336102,False
42,adaptive_domain,1,11,16,16,1.0472424666947988,1.0472424666947988,0.27791291791919404,False
42,adaptive_domain,1,12,4,4,1.0769694540370434,1.0769694540370434,0.28115814549087265,False
42,adaptive_domain,1,13,8,8,1.0814393887776257,1.0814393887776257,0.26381707844580105,False
42,adaptive_domain,1,14,16,16,1.064493339658858,1.064493339658858,0.269945109990476,False
42,adaptive_domain,2,0,4,4,1.0127030402836166,1.0665100412610404,0.2810433196505918,False
42,adaptive_domain,2,1,8,8,1.0155455724475562,1.0828917267708076,0.26356902154941547,False
42,adaptive_domain,2,2,16,16,1.045468957313454,1.0979991082566918,0.2972673859830187,False
42,adaptive_domain,2,3,4,4,1.025137551412438,1.059687142732314,0.2716242354405705,False
42,adaptive_domain,2,4,8,8,1.0239218444575324,1.0473858382122527,0.2895864464428463,False
42,adaptive_domain,2,5,16,16,1.1711926489030016,1.1074385530993582,0.2868410897870344,False
42,adaptive_domain,2,6,4,4,1.0141065573604082,1.0433696682875433,0.2790039177169892,False
42,adaptive_domain,2,7,8,8,1.020006328119433,1.0657828829625697,0.2900577033676441,False
42,adaptive_domain,2,8,16,16,1.015228813857199,1.0606554472156358,0.29676313793849673,False
42,adaptive_domain,2,9,4,4,1.0001929663505829,1.0254004767216478,0.2939765429014387,False
42,adaptive_domain,2,10,8,8,1.0018610587416101,1.0520261639556918,0.2761979176886853,False
42,adaptive_domain,2,11,16,16,1.0031657017421822,1.034019437209014,0.27960446492988905,False
42,adaptive_domain,2,12,4,4,1.0030149248302527,1.0547830952750061,0.2827346206282889,False
