seed,epoch,optimizer_steps,pooled_train_loss,distributed_train_loss,pooled_full_test_correct,distributed_full_test_correct,pooled_full_test_accuracy,distributed_full_test_accuracy,test_prediction_disagreements,max_factor_abs_error,train_sample_exposures_per_arm,peer_messages,peer_payload_bytes,wall_seconds
42,1,391,2.9101160333251954,2.910116042817235,4400,4400,0.44,0.44,0,1.3527460396289825e-07,50000,10948,428898848,17.962441666051745
42,2,391,1.8000093215560913,1.8000093219060638,5079,5079,0.5079,0.5079,0,2.086162567138672e-07,50000,10948,428898848,14.725932245142758
42,3,391,1.629767820701599,1.6297678247769176,5320,5320,0.532,0.532,0,2.980232238769531e-07,50000,10948,428898848,15.024692107923329
42,4,391,1.559410627593994,1.5594106345362961,5378,5378,0.5378,0.5378,0,2.682209014892578e-07,50000,10948,428898848,15.105866169556975
42,5,391,1.5196608475112916,1.5196608305969044,5474,5474,0.5474,0.5474,0,2.980232238769531e-07,50000,10948,428898848,14.635129353031516
42,6,391,1.4897343710708617,1.4897343586182221,5528,5528,0.5528,0.5528,0,3.5762786865234375e-07,50000,10948,428898848,14.579338471405208
42,7,391,1.4708068334198,1.470806834975127,5513,5513,0.5513,0.5513,0,3.2782554626464844e-07,50000,10948,428898848,15.835867729969323
42,8,391,1.453603010520935,1.4536030120927468,5598,5598,0.5598,0.5598,0,3.2782554626464844e-07,50000,10948,428898848,16.10400249902159
42,9,391,1.437285205078125,1.4372852005447296,5633,5633,0.5633,0.5633,0,3.5762786865234375e-07,50000,10948,428898848,14.999273991212249
42,10,391,1.4263236645126343,1.4263236603837972,5607,5607,0.5607,0.5607,0,3.8743019104003906e-07,50000,10948,428898848,14.735670468769968
42,11,391,1.414952226638794,1.4149522086955792,5641,5641,0.5641,0.5641,0,4.172325134277344e-07,50000,10948,428898848,14.532337430864573
42,12,391,1.4082074770736694,1.408207469777316,5612,5612,0.5612,0.5612,0,4.172325134277344e-07,50000,10948,428898848,14.469113199040294
42,13,391,1.4004279671478272,1.4004279674031306,5715,5715,0.5715,0.5715,0,3.8743019104003906e-07,50000,10948,428898848,14.5130970235914
42,14,391,1.3938816024017333,1.3938816004026822,5708,5708,0.5708,0.5708,0,3.8743019104003906e-07,50000,10948,428898848,14.500726961530745
42,15,391,1.3869527612113952,1.3869527533471957,5732,5732,0.5732,0.5732,0,4.172325134277344e-07,50000,10948,428898848,14.58364570979029
42,16,391,1.3804604074859619,1.3804604104725644,5724,5724,0.5724,0.5724,0,4.172325134277344e-07,50000,10948,428898848,14.232055934146047
42,17,391,1.375752297744751,1.3757522916457545,5694,5694,0.5694,0.5694,0,4.172325134277344e-07,50000,10948,428898848,14.317138410173357
42,18,391,1.3714774295806884,1.3714774388717383,5733,5733,0.5733,0.5733,0,4.172325134277344e-07,50000,10948,428898848,14.86359251011163
42,19,391,1.365345575027466,1.365345580644859,5727,5727,0.5727,0.5727,0,4.470348358154297e-07,50000,10948,428898848,14.397908308543265
42,20,391,1.3633758402633667,1.363375833271987,5712,5712,0.5712,0.5712,0,4.470348358154297e-07,50000,10948,428898848,14.632313875481486
42,21,391,1.3586696877288817,1.3586696825068445,5773,5773,0.5773,0.5773,0,4.470348358154297e-07,50000,10948,428898848,14.563917842693627
42,22,391,1.3559804007339478,1.3559803963273298,5730,5730,0.573,0.573,0,4.76837158203125e-07,50000,10948,428898848,14.50419744104147
42,23,391,1.3526754177093505,1.3526754191851709,5773,5773,0.5773,0.5773,0,4.470348358154297e-07,50000,10948,428898848,14.731744691729546
42,24,391,1.3497833777999877,1.3497833700229938,5740,5740,0.574,0.574,0,4.172325134277344e-07,50000,10948,428898848,14.834641049616039
42,25,391,1.3462338971328736,1.3462338922412718,5714,5714,0.5714,0.5714,0,4.470348358154297e-07,50000,10948,428898848,14.453914417885244
42,26,391,1.3444224276733399,1.3444224228453263,5780,5780,0.578,0.578,0,4.470348358154297e-07,50000,10948,428898848,14.357280334457755
42,27,391,1.3421115695190429,1.3421115674241206,5755,5755,0.5755,0.5755,0,4.3213367462158203e-07,50000,10948,428898848,14.15095341578126
42,28,391,1.3406423801803589,1.3406423640502245,5774,5774,0.5774,0.5774,0,4.470348358154297e-07,50000,10948,428898848,14.136509483680129
42,29,391,1.3394035190582276,1.3394035135865212,5764,5764,0.5764,0.5764,0,4.76837158203125e-07,50000,10948,428898848,14.444457223638892
42,30,391,1.3357528846359252,1.335752893417417,5780,5780,0.578,0.578,0,4.76837158203125e-07,50000,10948,428898848,14.427253669127822
43,1,391,2.8686619747543336,2.868661978028417,4400,4400,0.44,0.44,0,1.6391277313232422e-07,50000,10948,428898848,16.53814063500613
43,2,391,1.8083399543762206,1.8083399711901322,5035,5035,0.5035,0.5035,0,1.862645149230957e-07,50000,10948,428898848,14.358524901792407
43,3,391,1.6400968603134156,1.6400968732793815,5199,5199,0.5199,0.5199,0,2.384185791015625e-07,50000,10948,428898848,14.577482440508902
43,4,391,1.568921680831909,1.5689216964117065,5347,5347,0.5347,0.5347,0,3.2782554626464844e-07,50000,10948,428898848,14.80124980583787
