seed,arm,epoch,validation_accuracy_percent,validation_correct,train_loss
42,uniform_sample,1,41.160000000000004,2058,2.9835422017104096
42,uniform_sample,2,48.68,2434,1.8729115331164665
42,uniform_sample,3,51.800000000000004,2590,1.681129034923348
42,uniform_sample,4,53.04,2652,1.598731640230308
42,uniform_sample,5,53.800000000000004,2690,1.550483927650998
42,uniform_sample,6,54.04,2702,1.519395154218003
42,uniform_sample,7,54.67999999999999,2734,1.4944386543764423
42,uniform_sample,8,55.16,2758,1.4735823498656353
42,uniform_sample,9,55.24,2762,1.4585942962843925
42,uniform_sample,10,55.720000000000006,2786,1.4454724275814161
42,uniform_sample,11,55.60000000000001,2780,1.433375354272148
42,uniform_sample,12,56.44,2822,1.4222772226886617
42,uniform_sample,13,57.220000000000006,2861,1.413478592153059
42,uniform_sample,14,57.04,2852,1.4054480310603563
42,uniform_sample,15,56.54,2827,1.398016669552111
42,uniform_sample,16,56.879999999999995,2844,1.391080830164564
42,uniform_sample,17,56.36,2818,1.386508594005762
42,uniform_sample,18,57.26,2863,1.3807210497654148
42,uniform_sample,19,56.779999999999994,2839,1.374764072723935
42,uniform_sample,20,57.26,2863,1.3705721597220024
42,uniform_sample,21,56.76,2838,1.3649728936449521
42,uniform_sample,22,57.28,2864,1.3629448914822062
42,uniform_sample,23,57.58,2879,1.359678481741899
42,uniform_sample,24,57.3,2865,1.3559388357866142
42,uniform_sample,25,57.220000000000006,2861,1.3531543485521855
42,uniform_sample,26,57.58,2879,1.3507657812129086
42,uniform_sample,27,57.220000000000006,2861,1.3477844318037957
42,uniform_sample,28,57.16,2858,1.345645399066723
42,uniform_sample,29,57.220000000000006,2861,1.3419392424402576
42,uniform_sample,30,57.64,2882,1.3404948393874698
42,fixed_sample,1,34.260000000000005,1713,3.3614315414918794
42,fixed_sample,2,44.36,2218,2.1529004035087094
42,fixed_sample,3,48.699999999999996,2435,1.869821748509134
42,fixed_sample,4,49.54,2477,1.7367482492632214
42,fixed_sample,5,51.42,2571,1.6615927588123414
42,fixed_sample,6,52.32,2616,1.6154128162869563
42,fixed_sample,7,52.0,2600,1.5834954695606398
42,fixed_sample,8,53.52,2676,1.5599413636941049
42,fixed_sample,9,53.400000000000006,2670,1.5362065218920924
42,fixed_sample,10,54.120000000000005,2706,1.5154455385701524
42,fixed_sample,11,53.14,2657,1.504379085328761
42,fixed_sample,12,54.339999999999996,2717,1.4897889072140886
42,fixed_sample,13,55.08,2754,1.4764077442085577
42,fixed_sample,14,54.66,2733,1.4698973516345852
42,fixed_sample,15,55.059999999999995,2753,1.4629196489968235
42,fixed_sample,16,55.379999999999995,2769,1.4505389072918229
42,fixed_sample,17,54.86,2743,1.4476981982282053
42,fixed_sample,18,55.22,2761,1.4424722304937325
42,fixed_sample,19,55.17999999999999,2759,1.433724392804338
42,fixed_sample,20,55.67999999999999,2784,1.429938343141171
42,fixed_sample,21,55.379999999999995,2769,1.4224077229441454
42,fixed_sample,22,55.44,2772,1.4218430775829694
42,fixed_sample,23,55.64,2782,1.414174164500491
42,fixed_sample,24,56.32,2816,1.4107217175057365
42,fixed_sample,25,56.120000000000005,2806,1.4093825209671011
42,fixed_sample,26,56.02,2801,1.4060218457973253
42,fixed_sample,27,56.3,2815,1.4018730762994744
42,fixed_sample,28,56.14,2807,1.4026615320681697
42,fixed_sample,29,55.64,2782,1.3981525636802479
42,fixed_sample,30,54.96,2748,1.3928989620611072
42,adaptive_sample,1,34.260000000000005,1713,3.3614315414918794
42,adaptive_sample,2,44.36,2218,2.1529004035087094
42,adaptive_sample,3,48.699999999999996,2435,1.869821748509134
42,adaptive_sample,4,48.88,2444,1.76371915447303
42,adaptive_sample,5,50.8,2540,1.6968259003074633
42,adaptive_sample,6,50.8,2540,1.6617507970311576
42,adaptive_sample,7,51.300000000000004,2565,1.6352661079891855
42,adaptive_sample,8,52.28,2614,1.6100709713348085
42,adaptive_sample,9,51.5,2575,1.5889480364564392
42,adaptive_sample,10,52.35999999999999,2618,1.5736033886629675
42,adaptive_sample,11,52.019999999999996,2601,1.5600363575463907
42,adaptive_sample,12,53.22,2661,1.5487310474182168
42,adaptive_sample,13,53.2,2660,1.5413504290367788
42,adaptive_sample,14,53.300000000000004,2665,1.5318958505970737
42,adaptive_sample,15,53.620000000000005,2681,1.520735494032916
42,adaptive_sample,16,53.839999999999996,2692,1.5111227039479134
42,adaptive_sample,17,53.839999999999996,2692,1.5047850311123663
42,adaptive_sample,18,54.42,2721,1.49848428098013
42,adaptive_sample,19,53.86,2693,1.492190928547581
42,adaptive_sample,20,54.300000000000004,2715,1.4896170979920154
42,adaptive_sample,21,54.58,2729,1.4868516524347166
42,adaptive_sample,22,54.24,2712,1.4841153273887104
42,adaptive_sample,23,54.48,2724,1.4681806735167642
42,adaptive_sample,24,55.00000000000001,2750,1.4726167764985314
42,adaptive_sample,25,54.7,2735,1.4668682321167654
42,adaptive_sample,26,55.14,2757,1.4661323826030725
42,adaptive_sample,27,54.04,2702,1.4599528813313694
42,adaptive_sample,28,54.84,2742,1.458046228860153
42,adaptive_sample,29,53.36,2668,1.4561051740711672
42,adaptive_sample,30,54.67999999999999,2734,1.4475174541297058
42,adaptive_quality,1,34.06,1703,3.363843169347445
42,adaptive_quality,2,44.16,2208,2.1529605087563395
42,adaptive_quality,3,48.64,2432,1.872644203595693
