seed,arm,label,source_directory,validation_accuracy_percent,independent_correct,independent_cross_entropy,training_sample_exposures,optimizer_steps,gradient_rank_sample_products,ceiling_probe_rank_sample_products,gradient_coordinate_work_fraction_of_fullrank,gradient_payload_bytes,control_payload_bytes,total_modeled_payload_bytes,checkpoint_sha256,record_sha256,prediction_sha256,independent_fp32_count_match
42,uniform_sample,Shared gradients: uniform rank16,masked-screen-a,57.64,2882,1.4897951434410108,1350000,10560,21600000,921600,1.0,11583559680,0,11583559680,d5a6b90ac2040754c25b0ed4501435c5eed46a99242bd02b049bef5519149496,36f69caf3108297a016857d53e17b570c9b2104169aa323a2b183dd3942f45cc,55a20929b737b825d9741226cc1c8fca4c019804596e2ad10c361284f7aaca51,True
42,fixed_sample,Partial gradients: fixed / sample,masked-screen-a,54.96,2748,1.5270781654470216,1350000,10560,12675360,537600,0.5868222222222222,11583559680,0,11583559680,6ba87f18588a8ed6084c6d81286ad4f96278613962b4c1bc8ca2a29b212fe310,32d529c1be48a693a7125872bbdef7df0058a6c03e3abe3b383523fe75e62bdc,5a0b9427169a497952aaf70f5352847565496ffa273b62b092ed931ba1cd4177,True
42,adaptive_sample,Partial gradients: adaptive / sample,masked-screen-a,54.67999999999999,2734,1.5649533600173493,1350000,10560,7232332,537600,0.3348301851851852,11583559680,0,11583559680,c1a19f5888df739730f88577f0a8f91790b6c29b5e46913c0908ee9cfd17f27c,f8fc01ea263eec79f4647616859930cac6256968246040ff17fe0e8a1d4c3d8e,cb159e76fb4894fe77ce31598e948f04a065d2cdfe787cbe9688b9144abf7542,True
42,adaptive_quality,Partial gradients: adaptive / quality,masked-screen-b,54.52,2726,1.570771811345652,1350000,10560,7180236,537600,0.3324183333333333,11583559680,191520,11583751200,3586f081f6012637c8d061ca0a037c3f2ee1124732d221fc3d329d8898f4e5a0,396fdb467e48a621f003c30105b2411f17b24402a7ea3e5b6949be46f972fdea,7555a8028552da5b6b49617a25ddc60575840d09ff32a38777e5bb189212f7a9,True
42,fixed_domain,Partial gradients: fixed / domain,masked-screen-b,55.26,2763,1.5298157618265398,1350000,10560,12675360,537600,0.5868222222222222,11583559680,3275183520,14858743200,877f1a4e13e08ac8bd07ed3943a53332a049d271ded1cd8aefd3899f6b51965d,2e2ada9e5a082434229e512d48eda084c970398d7d4f7c1ecd5b52fd6561ce25,6ef406bb61ba6dfc6a5a44e2b3c18dedc4d3b6aa3879e2a033223621633687db,True
42,adaptive_domain,Partial gradients: adaptive / domain,masked-screen-b,54.800000000000004,2740,1.5647465745591977,1350000,10560,7186628,537600,0.33271425925925924,11583559680,3275183520,14858743200,89de12d854454641fb968bf6c552561b5c00bcbda0979dd720d9bf68d0de851d,b6461c7d56fd7cffb9d50954ce1c482b8cbaea9af6d17dc5b14e15722e86f7be,292c4826a8535b82abf0fb41ffc5fe3f3024eea3dc6f25eb6af302a3e46ea579,True
43,uniform_sample,Shared gradients: uniform rank16,masked-replication-43,57.54,2877,1.4943844732886213,1350000,10560,21600000,921600,1.0,11583559680,0,11583559680,3aeb9fcfb676487f05f5547e3f055abfcd68e4817f59de5e8821e60179ac66f2,4c7bd8f776423a261ed9c847f7ce5493ce9e7da3df24cb32afd6bb14511307ec,2ee3d497e655f73c6fe8be65ba68bc8b868db7aebac8927713b42b798de015fe,True
43,fixed_domain,Partial gradients: fixed / domain,masked-replication-43,56.02,2801,1.5248779874523775,1350000,10560,12738480,537600,0.5897444444444444,11583559680,3275183520,14858743200,0cdea663790a12696a243cd16561ea827c9578eb678bacaaba285e641003b3f7,d48d387cad48637159e5f03026c8c74b0d342b29622fbb377703017185b8a011,45d98cfb4fd2ea0d2e4ce4b36ecd473afc1fda88d8371f0b6a7cce0e5e8c2263,True
43,adaptive_domain,Partial gradients: adaptive / domain,masked-replication-43,54.16,2708,1.5908543402114217,1350000,10560,7329344,537600,0.3393214814814815,11583559680,3275183520,14858743200,fbb641623e900149328f31e97de4695dfd1378eb00081110077ada3e08d53e85,d964b58833defe827aa7e0c4289a85981d4926b6cdd240ab272c5e9cd7046d9a,d7d0e8cd4d597a9ad6457e691f3ffb7132bee9d6d60e12b1e6a7556b55e87971,True
44,uniform_sample,Shared gradients: uniform rank16,masked-replication-44,56.36,2818,1.5060426479764937,1350000,10560,21600000,921600,1.0,11583559680,0,11583559680,43b2d2258efb8727eea5a862ab05adbe014046d0b91557f7968634dfe889ed97,87492dee6de383dbb6d062182a7a09e39b642bc7494a38ebc7b22941fdf64a2a,0df62e2e08417d929ed36dc069872967eca67f1ed9141214b2105b0da2f7e572,True
44,fixed_domain,Partial gradients: fixed / domain,masked-replication-44,56.42,2821,1.5124193220233462,1350000,10560,12529560,537600,0.5800722222222222,11583559680,3275183520,14858743200,0660dcd16fa700793dcfae924a9ae609d2455b62fad87fcc4e98509bf087a23f,f6121e5e88459b1771c40258ac0d62aead70b3928564000f401ffc2061a71dd7,b2bca71164504dc8e7692110a789f35096b37cb15965d997dd645314096243ea,True
44,adaptive_domain,Partial gradients: adaptive / domain,masked-replication-44,56.14,2807,1.5431381921853642,1350000,10560,7077150,537600,0.32764583333333336,11583559680,3275183520,14858743200,62b967d6b9a6a64a07883ff0491d1b6ff974d54e100b2ef16ce016c2babe4a18,7c57273b55ecfc8c311274e0b5798f4896d011bd958803f1b9253f265e2fe8b0,a0b4b905cfdee793f25a444e7000b6187d844c4999928bb0ce8262a98ab13e3e,True
43,pooled,Conventional pooled LoRA,pooled-validation-replication,57.54,2877,1.494384457971763,1350000,10560,21600000,0,1.0,0,0,0,e5e9c2a2fcf4c5e7905a4764a490490eb6b66be515d18336547ec7f4f48c3211,c4bf2e7fcddfd7545bdd745beb9dd4266d43bf50bc2d72f0a90d14dafc668e05,2ee3d497e655f73c6fe8be65ba68bc8b868db7aebac8927713b42b798de015fe,True
44,pooled,Conventional pooled LoRA,pooled-validation-replication,56.36,2818,1.5060426152410338,1350000,10560,21600000,0,1.0,0,0,0,f771b28e2c0ad96a95a599eab9dc2c6aa81a9cc59c09139f917c5ec27faf5d80,f3a0d8d9afacc9185845f50167888846f16ff9a0db85c949a9a09d22f7d42c74,0df62e2e08417d929ed36dc069872967eca67f1ed9141214b2105b0da2f7e572,True
