seed,method,oracle_accuracy_percent,initial_projected_accuracy_percent,final_accuracy_percent,additional_cycle_accuracy_change_pp,gap_to_oracle_pp,initial_retained_energy_percent,final_retained_energy_percent,final_relative_frobenius_norm,max_common_basis_prediction_error,final_mean_projection_residual_energy
42,ring_uniform16,57.8,57.8,57.8,0.0,0.0,100.0000401021589,100.00094240073444,1.0000047119925708,5.648644787756374e-06,1.2688257888804343e-09
42,ring_capability4_8_16,57.8,47.44,16.12,-31.319999999999997,-41.67999999999999,59.49764827572748,43.28510068449039,0.6579141333372494,2.0472276424033983e-06,0.17301125931383374
42,ring_reduced2_4_8,57.8,22.040000000000003,7.580000000000001,-14.46,-50.22,37.60357385093279,26.2053539322974,0.511911651872639,9.948182193076889e-07,0.11793806836547514
42,central_uniform16,57.8,57.8,57.8,0.0,0.0,100.0000401021589,100.00077530840565,1.0000038765345145,4.7724038143453115e-06,1.1699626822903042e-09
42,central_capability4_8_16,57.8,47.44,12.139999999999999,-35.3,-45.66,59.49764827572748,42.43350460519826,0.6514100444819549,2.143330365241598e-06,5.37007825059573e-08
42,central_reduced2_4_8,57.8,22.040000000000003,4.61,-17.43,-53.18999999999999,37.60357385093279,25.62482171248516,0.5062096572813004,1.1213498489075358e-06,3.664112600369288e-08
43,ring_uniform16,56.63,56.63,56.63,0.0,0.0,100.00001312088693,100.00055107725106,1.0000027553824593,6.33320411179266e-06,1.3953875166450303e-09
43,ring_capability4_8_16,56.63,48.97,12.83,-36.14000000000001,-43.800000000000004,61.00531448404212,42.05267222607393,0.648480317558474,2.522621719744099e-06,0.1501589782982018
43,ring_reduced2_4_8,56.63,21.36,5.63,-15.73,-51.0,38.436877249904086,25.287998547780234,0.5028717385952429,1.4798673008204456e-06,0.09899868049582072
43,central_uniform16,56.63,56.63,56.63,0.0,0.0,100.00001312088693,100.0011808798237,1.0000059043816876,9.724251159773736e-06,1.5251990781450786e-09
43,central_capability4_8_16,56.63,48.97,10.31,-38.660000000000004,-46.32000000000001,61.00531448404212,41.77000239849813,0.6462971638379525,3.1062482508033742e-06,2.819090341906379e-07
43,central_reduced2_4_8,56.63,21.36,4.58,-16.78,-52.050000000000004,38.436877249904086,25.104806364574866,0.5010469675047926,2.2629834219399674e-06,1.8215427810552853e-07
44,ring_uniform16,57.25,57.25,57.25,0.0,0.0,99.9999802168784,100.00009891560796,1.0000004945779175,2.3945647260558517e-06,1.431894240215096e-09
44,ring_capability4_8_16,57.25,47.67,11.64,-36.03,-45.61,60.12006904045661,43.0051168384567,0.6557828667970573,2.1169371823055383e-06,0.012298424761401123
44,ring_reduced2_4_8,57.25,19.919999999999998,4.35,-15.57,-52.900000000000006,38.07938333636015,25.845047579066872,0.508380247246752,1.157145816549819e-06,0.008498004493409293
44,central_uniform16,57.25,57.25,57.25,0.0,0.0,99.9999802168784,100.00038247368417,1.0000019123665922,4.418059564908353e-06,1.017741668718486e-09
44,central_capability4_8_16,57.25,47.67,11.360000000000001,-36.309999999999995,-45.89,60.12006904045661,42.99690354580802,0.6557202417632692,3.038161370398582e-06,6.004746859004466e-08
44,central_reduced2_4_8,57.25,19.919999999999998,4.18,-15.739999999999998,-53.07000000000001,38.07938333636015,25.83912088555583,0.5083219539382086,9.954985796080812e-07,4.125465309183044e-08
