arm,label,seed,status,endpoint,validation_accuracy_percent,validation_correct,independent_correct,independent_validation_cross_entropy,independent_max_absolute_logit,training_sample_exposures,first_train_loss,final_train_loss,maximum_train_loss,final_to_first_train_loss_ratio,all_metrics_and_checkpoint_finite,training_factor_bytes,dense_reduction_bytes,dense_broadcast_bytes,control_bytes,one_final_assembly_bytes,total_protocol_bytes,max_projection_tail,frozen_head_bytes_per_peer,checkpoint_sha256,record_sha256,prediction_sha256
pooled,Pooled LoRA,42,complete,5000 held-out original-training examples,57.64,2882,2882,1.4897951212422438,31.059751510620117,1350000,2.983542214796278,1.340494846343994,2.983542214796278,0.44929642345802223,True,0,0,0,0,0,0,0,0,88eff29f59ee7e3cb9b78390d4d7e37767538bf2f2360830e43d0086ce4148ae,1bab1b881058acfc0077b5ac543246c0a0d9b769e99a236639252e45bdba2644,55a20929b737b825d9741226cc1c8fca4c019804596e2ad10c361284f7aaca51
fixed_domain,Original fixed / domain,42,complete,5000 held-out original-training examples,4.52,226,226,4.274503179524823,90.11626434326172,1350000,3.519733296251297,1.3171566784580548,3.519733296251297,0.37422059218546383,True,20563200,0,0,3275183520,2867312,3298614032,0,0,cfd2898f717f5fae150d8b6b8256ef21ef1a258a9e8a83bce89ea2bd9a67dc18,a322a04d57f847bed4d92734d24550ee31ba7fd59dd09047d92fce50447767dc,428190a6cdae59babc515c86a06f512cbf5715c43caba2b8fb54fd0a57540b03
adaptive_domain,Original adaptive / domain,42,complete,5000 held-out original-training examples,4.62,231,231,4.492132232379915,78.99005126953125,1350000,3.519733296251297,1.7784687781757778,3.519733296251297,0.5052850964787422,True,11603520,0,0,3275183520,2867312,3289654352,0,0,a22884f7fecad381eb35607fd389e53f79482c37314613fea17334e0e73322ed,1173501356bee52c050a46fde51aae27a81169e2a9c375658127f91588364c18,c3499a1a562555163f43730b10ece258880609356d8a35cbac99080800c58efc
residual_uniform_sample_g1,Residual uniform / sample ×1,42,complete,5000 held-out original-training examples,1.68,84,84,5.08699308377099,9.745993614196777,1350000,3.516984473350313,3.801696730767356,3.801696730767356,1.0809535155967929,True,0,86019360,86016000,0,0,172035360,0.0020639143799290214,204800,dbca3d5c73c3cfdb2a32c550bd0f40fce1f2ad495e125b684fa46e23a97c94ab,eac602815d7dbc3f6a2a15943ff6f8a95e8f8b89bd1cf6bf81609030e1474618,c865eac33da47934280e69dd9c239e6bb06f10e432f9061d0fc2215aaab4d584
residual_fixed_sample_g1,Residual fixed / sample ×1,42,complete,5000 held-out original-training examples,1.4200000000000002,71,71,5.10056131934717,9.84266185760498,1350000,3.519733296251297,3.8043663102520835,3.8043663102520835,1.080867778903571,True,0,86019360,86016000,0,0,172035360,0.00214190306553358,204800,6f98f539ae795c7d7097dfb6f6c10c6dfa3af7a39adeb205c357ad9de5afd29c,ca9e3e18a087214131d4c046258d14624cf4c82b9f9dc4dd194eca9045ee423a,fbde2fd53af2c1de26200d463c15b5b925410d699a48a5d4ead333d8a1cd0edd
residual_adaptive_domain_g1,Residual adaptive / domain ×1,42,complete,5000 held-out original-training examples,1.7399999999999998,87,87,5.22845415243104,13.27577018737793,1350000,3.519733296251297,3.936410578695933,3.936410578695933,1.1183831976384175,True,0,86019360,86016000,3275183520,0,3447218880,0.0018525250644185196,204800,4271c9132f32fc1e554b904db15c7196be24dbe85d029ed4643b03b3e518b396,30239e011513f8feb00d10930df4147962167484bece1a9af1a7d053a791688d,7f3ebd56a7473d88bf8d2ef076d21b2a2d540f703edd49232f19a58b0c4133ac
residual_adaptive_domain_g5,Residual adaptive / domain ×5,42,complete,5000 held-out original-training examples,2.64,132,132,5.280176961968191,16.264673233032227,1350000,3.519733296251297,4.058899113119973,4.21335231912401,1.1531837135054854,True,0,86019360,86016000,3275183520,0,3447218880,0.005041105639381081,204800,97f8c48319e82f5d7ea6a0e8175b16129a311b3d29264266f9869c1ddf375f15,69da63dc7c809d9184cd9307d352e63c7c17993a448022b020da2007fb0d1bc3,0905f0cdffdfc8bf5173c1d98e3b84af59daa6525d00b13aa4f8643d877ee0e1
residual_adaptive_domain_g15,Residual adaptive / domain ×15,42,complete,5000 held-out original-training examples,1.48,74,74,41.46333407271891,96.90572357177734,1350000,3.519733296251297,47.848374175220066,53.490031454722086,13.594318133757785,True,0,86019360,86016000,3275183520,0,3447218880,0.013859673530735916,204800,e8b28b0471a1feaa9f1992fde96adf28525cb08aadabac35de9fd161e38950c7,3ea3288e342b869b2b5dadfe4be12cb5793028e475fe2006a32dbb5cb222ae6e,b107d9340ea1240e334b0e5e3419b58054b1e8cc67848b71e54eeaa9a129b345
residual_adaptive_sample_g5,Residual adaptive / sample ×5,42,complete,5000 held-out original-training examples,2.88,144,144,5.062699163235674,15.119662284851074,1350000,3.519733296251297,3.896116048664517,4.02679102818701,1.1069350205636568,True,0,86019360,86016000,0,0,172035360,0.006050339065216969,204800,d2c5a97647a4e6a39fb31c68fd2c1390f890216c529318a079c47139311db98e,2a444136d795082ba6a6756bc1bd4ea50e3ffed6a1eded7354697b77394dc5b1,4f36f7d2034531d6b20b9501ff3b6589b1a1886e4217b43921a43a296b1b21bc
residual_adaptive_quality_g5,Residual adaptive / quality ×5,42,complete,5000 held-out original-training examples,2.46,123,123,5.232130072084135,16.417388916015625,1350000,3.519733296251297,4.027288323677911,4.166202176846398,1.1442026951210158,True,0,86019360,86016000,191520,0,172226880,0.005643030057816964,204800,749c158ef7a238a9a4c28dd682f8f402a1b452a13e0a617bf6ff1ec245e84a5c,c2286682b85fb843f5859ddb3eca9d7f04d1518f44e42a67d56d02a93afcd9b8,fafacf1dd31e2751945ed4e8b8a0e82d95f8348c69d6cf633ee5ef9f3b1483af
