Experiment,Round,Client,rank,demand,stable_rank,residual_ratio,tail_mass,ema_demand,target_rank,direction,streak,changed,max_rank,gamma
CIFAR-CNN,1,0,2,1.1262118290491603,1.1262118290491603,,,1.1262118290491603,2,0,0,False,4,0.5
CIFAR-CNN,1,1,2,1.2864770479945835,1.2864770479945835,,,1.2864770479945835,2,0,0,False,8,0.5
CIFAR-CNN,1,2,2,1.2779233824700218,1.2779233824700218,,,1.2779233824700218,8,0,0,False,16,0.5
CIFAR-CNN,2,0,2,1.0943890201625148,1.0943890201625148,,,1.1166649863831668,2,0,0,False,4,0.5
CIFAR-CNN,2,1,2,1.1062520957706927,1.1062520957706927,,,1.2324095623274163,2,0,0,False,8,0.5
CIFAR-CNN,2,2,2,1.0405091979339534,1.0405091979339534,,,1.2066991271092014,8,0,0,False,16,0.5
CIFAR-CNN,3,0,2,1.1110997532393148,1.1110997532393148,,,1.1149954164400113,2,0,0,False,4,0.5
CIFAR-CNN,3,1,2,1.1471464810823813,1.1471464810823813,,,1.2068306379539058,2,0,0,False,8,0.5
CIFAR-CNN,3,2,2,1.3511370130922384,1.3511370130922384,,,1.2500304929041124,8,0,0,False,16,0.5
CIFAR-CNN,4,0,2,1.1701803060818214,1.1701803060818214,,,1.1315508833325545,2,0,0,False,4,0.5
CIFAR-CNN,4,1,2,1.179331761132305,1.179331761132305,,,1.1985809749074257,2,0,0,False,8,0.5
CIFAR-CNN,4,2,2,1.3278526679670457,1.3278526679670457,,,1.2733771454229923,8,0,0,False,16,0.5
CIFAR-CNN,5,0,2,1.1545553590277162,1.1545553590277162,,,1.138452226041103,2,0,0,False,4,0.5
CIFAR-CNN,5,1,2,1.2386010532484022,1.2386010532484022,,,1.2105869984097186,2,0,0,False,8,0.5
CIFAR-CNN,5,2,2,1.1907611020865798,1.1907611020865798,,,1.2485923324220685,8,0,0,False,16,0.5
Fashion-MLP,1,0,2,1.2665247131641897,1.2665247131641897,,,1.2665247131641897,2,0,0,False,4,0.5
Fashion-MLP,1,1,2,1.7189818809397341,1.7189818809397341,,,1.7189818809397341,2,0,0,False,8,0.5
Fashion-MLP,1,2,2,1.741983798589787,1.741983798589787,,,1.741983798589787,8,0,0,False,16,0.5
Fashion-MLP,2,0,2,1.1453095164177822,1.1453095164177822,,,1.2301601541402674,2,0,0,False,4,0.5
Fashion-MLP,2,1,2,1.2156939649724086,1.2156939649724086,,,1.5679955061495363,2,0,0,False,8,0.5
Fashion-MLP,2,2,2,1.2200981967609006,1.2200981967609006,,,1.585418118041121,8,0,0,False,16,0.5
Fashion-MLP,3,0,2,1.0923760802598699,1.0923760802598699,,,1.1888249319761481,2,0,0,False,4,0.5
Fashion-MLP,3,1,2,1.2695555099011395,1.2695555099011395,,,1.4784635072750172,2,0,0,False,8,0.5
Fashion-MLP,3,2,2,1.2575563458843528,1.2575563458843528,,,1.4870595863940905,8,0,0,False,16,0.5
Fashion-MLP,4,0,2,1.1647152659345417,1.1647152659345417,,,1.1815920321636662,2,0,0,False,4,0.5
Fashion-MLP,4,1,2,1.2067488757196643,1.2067488757196643,,,1.3969491178084115,2,0,0,False,8,0.5
Fashion-MLP,4,2,2,1.2574904811733645,1.2574904811733645,,,1.4181888548278727,8,0,0,False,16,0.5
Fashion-MLP,5,0,2,1.073695621818858,1.073695621818858,,,1.1492231090602236,2,0,0,False,4,0.5
Fashion-MLP,5,1,2,1.0464607800767398,1.0464607800767398,,,1.2918026164889098,2,0,0,False,8,0.5
Fashion-MLP,5,2,2,1.115687921970843,1.115687921970843,,,1.3274385749707638,8,0,0,False,16,0.5
AGNews-LSTM,1,0,2,1.464933238526743,1.464933238526743,,,1.464933238526743,2,0,0,False,4,0.5
AGNews-LSTM,1,1,2,1.3905289315189107,1.3905289315189107,,,1.3905289315189107,2,0,0,False,8,0.5
AGNews-LSTM,1,2,2,1.1536333094489195,1.1536333094489195,,,1.1536333094489195,8,0,0,False,16,0.5
AGNews-LSTM,2,0,2,1.1260672115998782,1.1260672115998782,,,1.3632734304486838,2,0,0,False,4,0.5
AGNews-LSTM,2,1,2,1.0996048132343228,1.0996048132343228,,,1.3032516960335343,2,0,0,False,8,0.5
AGNews-LSTM,2,2,2,1.3231264345104412,1.3231264345104412,,,1.204481246967376,8,0,0,False,16,0.5
AGNews-LSTM,3,0,2,1.0752799306353156,1.0752799306353156,,,1.2768753805046733,2,0,0,False,4,0.5
AGNews-LSTM,3,1,2,1.156785498660726,1.156785498660726,,,1.2593118368216918,2,0,0,False,8,0.5
AGNews-LSTM,3,2,2,1.108560248293291,1.108560248293291,,,1.1757049473651506,8,0,0,False,16,0.5
AGNews-LSTM,4,0,2,1.0919225166498951,1.0919225166498951,,,1.2213895213482397,2,0,0,False,4,0.5
AGNews-LSTM,4,1,2,1.134342105129966,1.134342105129966,,,1.221820917314174,2,0,0,False,8,0.5
AGNews-LSTM,4,2,2,1.1372733857641582,1.1372733857641582,,,1.1641754788848528,8,0,0,False,16,0.5
AGNews-LSTM,5,0,2,1.0909038616041669,1.0909038616041669,,,1.1822438234250179,2,0,0,False,4,0.5
AGNews-LSTM,5,1,2,1.0892305469767622,1.0892305469767622,,,1.1820438062129504,2,0,0,False,8,0.5
AGNews-LSTM,5,2,2,1.139078637532692,1.139078637532692,,,1.1566464264792047,8,0,0,False,16,0.5
Tabular-MLP,1,0,2,1.3380541597049238,1.3380541597049238,,,1.3380541597049238,2,0,0,False,4,0.5
Tabular-MLP,1,1,2,1.4870668981784672,1.4870668981784672,,,1.4870668981784672,2,0,0,False,8,0.5
Tabular-MLP,1,2,2,1.5108959616974982,1.5108959616974982,,,1.5108959616974982,8,0,0,False,16,0.5
Tabular-MLP,2,0,2,1.0619147159066227,1.0619147159066227,,,1.2552123265654334,2,0,0,False,4,0.5
Tabular-MLP,2,1,2,1.0284399010064107,1.0284399010064107,,,1.3494787990268504,2,0,0,False,8,0.5
Tabular-MLP,2,2,2,1.0481818768309312,1.0481818768309312,,,1.3720817362375282,8,0,0,False,16,0.5
Tabular-MLP,3,0,2,1.0168679475553337,1.0168679475553337,,,1.1837090128624035,2,0,0,False,4,0.5
Tabular-MLP,3,1,2,1.022417295816918,1.022417295816918,,,1.2513603480638706,2,0,0,False,8,0.5
Tabular-MLP,3,2,2,1.012433068876187,1.012433068876187,,,1.2641871360291257,8,0,0,False,16,0.5
