task,round,full_accuracy
CIFAR-CNN,1,24.11
CIFAR-CNN,2,30.0
CIFAR-CNN,3,31.19
CIFAR-CNN,4,33.04
CIFAR-CNN,5,32.87
Fashion-MLP,1,34.17
Fashion-MLP,2,60.36
Fashion-MLP,3,63.75
Fashion-MLP,4,64.6
Fashion-MLP,5,68.22
AGNews-LSTM,1,25.0
AGNews-LSTM,2,25.263157894736842
AGNews-LSTM,3,25.25
AGNews-LSTM,4,25.44736842105263
AGNews-LSTM,5,25.460526315789473
Tabular-MLP,1,66.66666666666667
Tabular-MLP,2,56.666666666666664
Tabular-MLP,3,55.0
Tabular-MLP,4,55.0
Tabular-MLP,5,61.666666666666664
Audio-1DCNN,1,3.8473098887886987
Audio-1DCNN,2,3.8473098887886987
Audio-1DCNN,3,3.837290852619978
Audio-1DCNN,4,3.857328924957419
Audio-1DCNN,5,3.8473098887886987
