task,client_id,is_synthetic,num_samples,raw_class_counts,class_frequency,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count
CIFAR-CNN,0,False,22198,"[1086, 2336, 1300, 4628, 927, 4441, 3990, 1592, 1587, 311]","[0.048923326425804124, 0.105234705829354, 0.058563834579691866, 0.20848725110370303, 0.04176051896567258, 0.200063068744932, 0.17974592305613118, 0.07171817280836111, 0.07149292729074691, 0.014010271195603207]",2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0
CIFAR-CNN,1,False,16849,"[3865, 323, 749, 205, 3897, 70, 713, 3172, 3410, 445]","[0.2293904682770491, 0.01917027716778444, 0.044453676776069796, 0.012166894177696006, 0.2312896907828358, 0.004154549231408392, 0.042317051457059766, 0.188260430886106, 0.20238589827289452, 0.026411062971096206]",1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0
CIFAR-CNN,2,False,10953,"[49, 2341, 2951, 167, 176, 489, 297, 236, 3, 4244]","[0.0044736601844243586, 0.21373139779055966, 0.2694239021272711, 0.015246964302017711, 0.0160686569889528, 0.04464530265680636, 0.027115858668857847, 0.021546608235186705, 0.0002738975623116954, 0.3874737514836118]",1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0
Fashion-MLP,0,False,26912,"[5477, 3353, 2062, 2018, 2091, 228, 1346, 3297, 5283, 1757]","[0.2035151605231867, 0.12459126040428062, 0.07662009512485136, 0.07498513674197384, 0.07769768133174793, 0.00847205707491082, 0.05001486325802616, 0.12251040428061831, 0.19630648038049942, 0.06528686087990487]",2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0
Fashion-MLP,1,False,12593,"[522, 2084, 637, 125, 3468, 4389, 1075, 7, 240, 46]","[0.04145160009529104, 0.16548876359882475, 0.05058365758754864, 0.00992614944810609, 0.27539109028825537, 0.34852695942190104, 0.08536488525371239, 0.0005558643690939411, 0.019058206940363694, 0.0036528229969030415]",1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0
Fashion-MLP,2,False,20495,"[1, 563, 3301, 3857, 441, 1383, 3579, 2696, 477, 4197]","[4.879238838741156e-05, 0.02747011466211271, 0.16106367406684557, 0.1881922420102464, 0.0215174432788485, 0.06747987313979019, 0.174627958038546, 0.13154427909246158, 0.023273969260795314, 0.20478165406196633]",1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0
AGNews-LSTM,0,False,65978,"[9558, 5634, 26541, 24245]","[0.14486647064172906, 0.08539210039710206, 0.40227045378762616, 0.3674709751735427]",1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0
AGNews-LSTM,1,False,11910,"[3691, 7022, 979, 218]","[0.3099076406381192, 0.5895885810243493, 0.0821998320738875, 0.018303946263643997]",0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0
AGNews-LSTM,2,False,42112,"[16751, 17344, 2480, 5537]","[0.39777260638297873, 0.41185410334346506, 0.05889057750759878, 0.13148271276595744]",1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0
Tabular-MLP,0,False,102,"[77, 25]","[0.7549019607843137, 0.24509803921568626]",0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0
