task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
CIFAR-CNN,1,0,False,dirichlet,0.5,42,16,66594,22198,2,1.5201672554016112,0.39679906079909805,2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0,0.0642635393826736,29.722208969203198,45.36284631771127,24.11,21.66,2.4499999999999993
CIFAR-CNN,1,1,False,dirichlet,0.5,42,64,50547,16849,2,1.4431057214736938,0.4093150743377552,1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0,0.49841388604898273,17.569513807327958,17.789197931871076,24.11,26.42,-2.3100000000000023
CIFAR-CNN,1,2,False,dirichlet,0.5,42,256,32859,10953,8,1.4308590650558473,0.41137720173712566,1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0,0.8667748461514857,17.677423134416596,6.208096198208891,24.11,21.82,2.289999999999999
CIFAR-CNN,2,0,False,dirichlet,0.5,42,16,66594,22198,2,1.54234356880188,0.3933378683634273,2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0,0.1091872845066908,27.38849823270638,45.26449248147326,30.0,28.9,1.1000000000000014
CIFAR-CNN,2,1,False,dirichlet,0.5,42,64,50547,16849,2,1.2755416154861452,0.4394558171094404,1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0,0.2889969534588023,19.697510805062006,27.789318130255246,30.0,29.38,0.620000000000001
CIFAR-CNN,2,2,False,dirichlet,0.5,42,256,32859,10953,8,1.0129577279090882,0.4967814207597524,1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0,0.43301625661159204,18.339055676920633,11.68556721622357,30.0,26.97,3.030000000000001
CIFAR-CNN,3,0,False,dirichlet,0.5,42,16,66594,22198,2,1.6221497774124147,0.3813664683131939,2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0,0.16116423062476204,27.516768543398204,40.2025581622679,31.19,30.39,0.8000000000000007
CIFAR-CNN,3,1,False,dirichlet,0.5,42,64,50547,16849,2,1.2117533445358277,0.4521299820662716,1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0,0.42471860735180833,21.076426227375133,25.61194167492158,31.19,30.73,0.46000000000000085
CIFAR-CNN,3,2,False,dirichlet,0.5,42,256,32859,10953,8,0.9488981842994688,0.513110437505718,1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0,0.6966779010890121,16.646525698924645,8.820515329112368,31.19,29.52,1.6700000000000017
CIFAR-CNN,4,0,False,dirichlet,0.5,42,16,66594,22198,2,1.3834413290023804,0.4195614080496635,2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0,0.20245266215655144,26.798227264436044,36.96114402925345,33.04,33.32,-0.28000000000000114
