form,task,n,lambda_quality_pearson,lambda_quality_spearman,quality_delta_pearson,quality_delta_spearman,mean_effective_quality
form_a,ALL,75,0.04403728617325199,-0.042389758179231865,0.10539964756726222,0.19139579522111497,0.4771273940272609
form_a,AGNews-LSTM,15,0.22290435170169975,0.07142857142857141,0.1969869095677938,0.10498704906711948,0.4731213404693665
form_a,Audio-1DCNN,15,0.40141444397226916,-0.08928571428571427,0.14462194279068416,0.30341553197527155,0.24173897840186914
form_a,CIFAR-CNN,15,0.25125814277674097,0.3,0.21470300427840341,0.12857142857142856,0.44867842011865544
form_a,Fashion-MLP,15,0.6490845809762563,0.5678571428571427,0.4675354829046277,0.4392857142857142,0.6313649622599967
form_a,Tabular-MLP,15,-0.25632686957245365,-0.48214285714285704,-0.0550740930625794,-0.5835155206263081,0.5907332688864169
form_b,ALL,75,0.10197437872098225,0.01229018492176387,0.10539964756726222,0.19139579522111497,0.4775756714885984
form_b,AGNews-LSTM,15,-0.5005585406583001,-0.44999999999999996,0.1969869095677938,0.10498704906711948,0.47064887880830003
form_b,Audio-1DCNN,15,-0.44786530117889056,-0.16785714285714282,0.14462194279068416,0.30341553197527155,0.2416092281524108
form_b,CIFAR-CNN,15,0.6935405783609372,0.6178571428571428,0.21470300427840341,0.12857142857142856,0.4515468648369635
form_b,Fashion-MLP,15,0.7339599355689834,0.6142857142857142,0.4675354829046277,0.4392857142857142,0.6333309382565747
form_b,Tabular-MLP,15,-0.5095788206311525,-0.9607142857142855,-0.0550740930625794,-0.5835155206263081,0.5907424473887438
