form,scope,scope_value,n,spearman,kendall_tau,permutation_p_value
form_a,all,ALL,75,0.36760303109541914,0.2793268156916363,0.16183816183816183
form_a,task,AGNews-LSTM,15,0.5014036653722775,0.4105134629438423,0.006993006993006993
form_a,task,Audio-1DCNN,15,-0.3877973663115896,-0.23421601750764795,1.0
form_a,task,CIFAR-CNN,15,0.7571428571428571,0.5238095238095238,0.002997002997002997
form_a,task,Fashion-MLP,15,-0.7071428571428571,-0.5428571428571428,1.0
form_a,task,Tabular-MLP,15,-0.1656431155326294,-0.11783084426418862,1.0
form_a,aggregation_context,AGNews-LSTM|1,3,0.0,0.0,1.0
form_a,aggregation_context,AGNews-LSTM|2,3,0.0,0.0,1.0
form_a,aggregation_context,AGNews-LSTM|3,3,1.0,1.0,0.15284715284715283
form_a,aggregation_context,AGNews-LSTM|4,3,0.8660254037844387,0.8164965809277261,0.33966033966033965
form_a,aggregation_context,AGNews-LSTM|5,3,1.0,1.0,0.15284715284715283
form_a,aggregation_context,Audio-1DCNN|1,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Audio-1DCNN|2,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Audio-1DCNN|3,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Audio-1DCNN|4,3,0.5,0.3333333333333333,0.4965034965034965
form_a,aggregation_context,Audio-1DCNN|5,3,0.5,0.3333333333333333,0.4965034965034965
form_a,aggregation_context,CIFAR-CNN|1,3,0.5,0.3333333333333333,0.4695304695304695
form_a,aggregation_context,CIFAR-CNN|2,3,1.0,1.0,0.15284715284715283
form_a,aggregation_context,CIFAR-CNN|3,3,0.5,0.3333333333333333,0.5034965034965035
form_a,aggregation_context,CIFAR-CNN|4,3,1.0,1.0,0.15284715284715283
form_a,aggregation_context,CIFAR-CNN|5,3,0.5,0.3333333333333333,0.4695304695304695
form_a,aggregation_context,Fashion-MLP|1,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Fashion-MLP|2,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Fashion-MLP|3,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Fashion-MLP|4,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Fashion-MLP|5,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Tabular-MLP|1,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Tabular-MLP|2,3,-0.5,-0.3333333333333333,1.0
form_a,aggregation_context,Tabular-MLP|3,3,0.0,0.0,1.0
form_a,aggregation_context,Tabular-MLP|4,3,0.0,0.0,1.0
form_a,aggregation_context,Tabular-MLP|5,3,0.0,0.0,1.0
form_b,all,ALL,75,0.36927006809689844,0.257447430650516,0.20679320679320679
form_b,task,AGNews-LSTM,15,0.43442916855359787,0.3103882280794905,0.030969030969030968
form_b,task,Audio-1DCNN,15,-0.6624871674489655,-0.42939603209735455,1.0
form_b,task,CIFAR-CNN,15,0.24642857142857136,0.10476190476190476,0.2137862137862138
form_b,task,Fashion-MLP,15,0.2785714285714285,0.14285714285714285,0.0899100899100899
form_b,task,Tabular-MLP,15,0.5044585791220986,0.39634011252499807,0.01098901098901099
form_b,aggregation_context,AGNews-LSTM|1,3,0.0,0.0,1.0
form_b,aggregation_context,AGNews-LSTM|2,3,0.0,0.0,1.0
form_b,aggregation_context,AGNews-LSTM|3,3,1.0,1.0,0.15284715284715283
form_b,aggregation_context,AGNews-LSTM|4,3,0.8660254037844387,0.8164965809277261,0.33966033966033965
form_b,aggregation_context,AGNews-LSTM|5,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,Audio-1DCNN|1,3,0.5,0.3333333333333333,0.4695304695304695
form_b,aggregation_context,Audio-1DCNN|2,3,-0.5,-0.3333333333333333,1.0
form_b,aggregation_context,Audio-1DCNN|3,3,-0.5,-0.3333333333333333,1.0
form_b,aggregation_context,Audio-1DCNN|4,3,-0.5,-0.3333333333333333,1.0
form_b,aggregation_context,Audio-1DCNN|5,3,-1.0,-1.0,1.0
form_b,aggregation_context,CIFAR-CNN|1,3,-0.5,-0.3333333333333333,1.0
form_b,aggregation_context,CIFAR-CNN|2,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,CIFAR-CNN|3,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,CIFAR-CNN|4,3,0.5,0.3333333333333333,0.4965034965034965
form_b,aggregation_context,CIFAR-CNN|5,3,0.5,0.3333333333333333,0.4965034965034965
form_b,aggregation_context,Fashion-MLP|1,3,-0.5,-0.3333333333333333,1.0
form_b,aggregation_context,Fashion-MLP|2,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,Fashion-MLP|3,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,Fashion-MLP|4,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,Fashion-MLP|5,3,0.5,0.3333333333333333,0.5034965034965035
form_b,aggregation_context,Tabular-MLP|1,3,0.5,0.3333333333333333,0.5184815184815185
form_b,aggregation_context,Tabular-MLP|2,3,0.5,0.3333333333333333,0.48151848151848153
form_b,aggregation_context,Tabular-MLP|3,3,0.8660254037844387,0.8164965809277261,0.3176823176823177
form_b,aggregation_context,Tabular-MLP|4,3,0.8660254037844387,0.8164965809277261,0.3176823176823177
form_b,aggregation_context,Tabular-MLP|5,3,0.8660254037844387,0.8164965809277261,0.3176823176823177
