seed,stage,n_clusters,confidence,ari,nmi,personalized_accuracy,consensus_accuracy,signature_dimension,signature_payload_bytes_fp32
42,2,5,0.7306697168467786,1.0,1.0,0.10380575478026755,0.0173,64,3840
42,5,5,0.7381964924438342,1.0,1.0,0.19880765323044183,0.0499,64,3840
42,10,5,0.7376555221861752,1.0,1.0,0.25180562871717294,0.1186,64,3840
42,20,5,0.5942824637511596,1.0,1.0,0.32800506653580114,0.19,64,3840
43,2,5,0.7439417689796305,1.0,1.0,0.10570960765863316,0.0113,64,3840
43,5,5,0.746430993374632,1.0,1.0,0.2024103563833699,0.0349,64,3840
43,10,5,0.735149532597605,1.0,1.0,0.2649148398773586,0.1116,64,3840
43,20,6,0.5561064055517831,0.9176470588235294,0.9619557571038375,0.3350149249699474,0.1883,64,3840
44,2,5,0.7300724989251217,1.0,1.0,0.09950370160265211,0.0088,64,3840
44,5,5,0.7239920783538772,1.0,1.0,0.19090980035507774,0.0426,64,3840
44,10,5,0.7244812404745533,1.0,1.0,0.2394089741915829,0.1099,64,3840
44,20,5,0.5978128641682396,1.0,1.0,0.3198081139610374,0.1836,64,3840
