context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,1,0,accuracy,3,0.034,0.019371370627810518,0.012,0.0485
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,1,1,accuracy,3,0.042333333333333334,0.027006172134038792,0.015,0.069
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,1,2,accuracy,3,0.043666666666666666,0.01661575557515617,0.0245,0.054
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,1,3,accuracy,3,0.022000000000000002,0.017776388834631177,0.008,0.042
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,1,4,accuracy,3,0.012333333333333333,0.00553022000767902,0.0065,0.0175
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,2,0,accuracy,3,0.06483333333333334,0.015373136743466942,0.0545,0.0825
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,2,1,accuracy,3,0.07866666666666666,0.019901842460770643,0.0575,0.097
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,2,2,accuracy,3,0.08116666666666666,0.034818577416852244,0.0515,0.1195
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,2,3,accuracy,3,0.045,0.007858116822750855,0.0365,0.052
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,2,4,accuracy,3,0.0555,0.006557438524302,0.0485,0.0615
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,0,accuracy,3,0.11816666666666667,0.043377221364828494,0.086,0.1675
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,1,accuracy,3,0.13116666666666668,0.03856920187576266,0.094,0.171
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,2,accuracy,3,0.1245,0.048685213360937424,0.08,0.1765
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,3,accuracy,3,0.06333333333333334,0.03374290048785571,0.0245,0.0855
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,4,accuracy,3,0.08816666666666667,0.013732564703409675,0.077,0.1035
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,0,accuracy,3,0.14450000000000002,0.05088467352749746,0.1105,0.203
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,1,accuracy,3,0.18916666666666665,0.07878028518184822,0.1035,0.2585
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,2,accuracy,3,0.179,0.057838136207868936,0.1265,0.241
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,3,accuracy,3,0.08633333333333333,0.0391801395267211,0.0415,0.114
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,4,accuracy,3,0.115,0.018681541692269408,0.098,0.135
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,0,accuracy,3,0.16233333333333333,0.06978777352325644,0.112,0.242
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,1,accuracy,3,0.2275,0.1044521421513221,0.127,0.3355
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,2,accuracy,3,0.21016666666666667,0.05800071838635565,0.1465,0.26
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,3,accuracy,3,0.10016666666666667,0.04710184002067577,0.046,0.1315
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,4,accuracy,3,0.13683333333333333,0.01934123401785246,0.1165,0.155
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,0,accuracy,3,0.17666666666666667,0.054023914457704124,0.1275,0.2345
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,1,accuracy,3,0.24366666666666667,0.11752269284411981,0.1275,0.3625
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,2,accuracy,3,0.2415,0.07791501780786551,0.156,0.3085
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,3,accuracy,3,0.10883333333333334,0.05575018684572576,0.0445,0.143
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,4,accuracy,3,0.15333333333333332,0.025866645188994515,0.1245,0.1745
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,0,accuracy,3,0.18516666666666667,0.0772112901934253,0.119,0.27
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,1,accuracy,3,0.25666666666666665,0.145894939368483,0.134,0.418
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,2,accuracy,3,0.26616666666666666,0.06125017006779109,0.1955,0.304
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,7,3,accuracy,3,0.11966666666666666,0.05150808997947151,0.0605,0.1545
