seed,method,merge,rank_schedule,error_feedback,rounds,personalized_accuracy,personalized_sample_weighted_accuracy,consensus_accuracy,accuracy_gap,worst_domain_accuracy,consensus_distance,total_effective_messages,total_effective_floats,total_operational_messages,total_operational_floats,wall_seconds,initial_state_sha256,split_sha256
42,adaptive_rank,delta,4:12:32,False,30,0.23122237679958824,0.2312,0.0525,0.171,0.153,73.32911783854166,900,6998832,900,6998832,19.05199892167002,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385
42,adaptive_weighted_rank,delta,4:12:32,False,30,0.23122237679958824,0.2312,0.0525,0.171,0.153,73.32911783854166,900,6998832,900,6998832,18.641117838211358,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385
42,mh,delta,4:12:32,False,30,0.25112803958381164,0.2511,0.054,0.15750000000000003,0.1765,67.33072102864584,900,8812800,900,8812800,18.597919170744717,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385
42,weighted,delta,4:12:32,False,30,0.25112803958381164,0.2511,0.054,0.15750000000000003,0.1765,67.33072102864584,900,8812800,900,8812800,18.59763282723725,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385
43,adaptive_rank,delta,4:12:32,False,30,0.18323015669342507,0.1832,0.0558,0.27199999999999996,0.0845,68.95540364583333,900,6785856,900,6785856,18.790196331217885,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd
43,adaptive_weighted_rank,delta,4:12:32,False,30,0.18323015669342507,0.1832,0.0558,0.27199999999999996,0.0845,68.95540364583333,900,6785856,900,6785856,19.751400113105774,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd
43,mh,delta,4:12:32,False,30,0.24312933623278454,0.2431,0.0624,0.41,0.0825,41.68422037760417,900,8812800,900,8812800,18.45369850564748,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd
43,weighted,delta,4:12:32,False,30,0.24312933623278454,0.2431,0.0624,0.41,0.0825,41.68422037760417,900,8812800,900,8812800,19.375279026106,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd
44,adaptive_rank,delta,4:12:32,False,30,0.19462445954200078,0.1946,0.0523,0.25649999999999995,0.0995,69.03455403645833,900,7243632,900,7243632,19.89795438013971,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429
44,adaptive_weighted_rank,delta,4:12:32,False,30,0.19462445954200078,0.1946,0.0523,0.25649999999999995,0.0995,69.03455403645833,900,7243632,900,7243632,20.455166518688202,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429
44,mh,delta,4:12:32,False,30,0.2304335820077949,0.2304,0.037,0.276,0.1145,69.2094970703125,900,8812800,900,8812800,19.159632687456906,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429
44,weighted,delta,4:12:32,False,30,0.2304335820077949,0.2304,0.037,0.276,0.1145,69.2094970703125,900,8812800,900,8812800,19.430449697189033,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429
