seed,method,stage,signature,adjusted_rand_index,normalized_mutual_info,personalized_accuracy,consensus_accuracy
42,local,2,spectral_baseline,-0.12,0.32117915532174146,0.10151560856208532,0.0101
42,local,2,row_norms,1.0,1.0,0.10151560856208532,0.0101
42,local,2,inverse_delta_l2,-0.031578947368421054,0.34417889681137126,0.10151560856208532,0.0101
42,local,5,spectral_baseline,-0.07441860465116279,0.3408942870968316,0.3230234732483608,0.0479
42,local,5,row_norms,1.0,1.0,0.3230234732483608,0.0479
42,local,5,inverse_delta_l2,0.33962264150943394,0.7128151127542444,0.3230234732483608,0.0479
42,local,10,spectral_baseline,0.07659574468085106,0.44981337634381796,0.46162924543734146,0.1069
42,local,10,row_norms,0.12203389830508475,0.5191659854679062,0.46162924543734146,0.1069
42,local,10,inverse_delta_l2,0.641860465116279,0.8681745584591263,0.46162924543734146,0.1069
42,local,20,spectral_baseline,0.10256410256410256,0.5099678325746614,0.5411223817520668,0.1348
42,local,20,row_norms,0.005263157894736842,0.37144171752439037,0.5411223817520668,0.1348
42,local,20,inverse_delta_l2,0.641860465116279,0.8681745584591262,0.5411223817520668,0.1348
42,mh,2,spectral_baseline,-0.11282051282051282,0.34281993487882834,0.08190769480124804,0.0148
42,mh,2,row_norms,0.2631578947368421,0.570313115022967,0.08190769480124804,0.0148
42,mh,2,inverse_delta_l2,0.042105263157894736,0.4681026245425507,0.08190769480124804,0.0148
42,mh,5,spectral_baseline,0.03076923076923077,0.4599281840235277,0.23822878350614482,0.035
42,mh,5,row_norms,0.11578947368421053,0.5263459537328314,0.23822878350614482,0.035
42,mh,5,inverse_delta_l2,0.10256410256410256,0.5184823085958774,0.23822878350614482,0.035
42,mh,10,spectral_baseline,-0.031578947368421054,0.40985929535227,0.32743808276042163,0.0536
42,mh,10,row_norms,0.2146341463414634,0.5731303127541456,0.32743808276042163,0.0536
42,mh,10,inverse_delta_l2,0.10256410256410256,0.4820290724434224,0.32743808276042163,0.0536
42,mh,20,spectral_baseline,0.042105263157894736,0.46810262454255075,0.38672480576528556,0.073
42,mh,20,row_norms,0.17435897435897435,0.5405831970157723,0.38672480576528556,0.073
42,mh,20,inverse_delta_l2,0.03076923076923077,0.45107718978689837,0.38672480576528556,0.073
43,local,2,spectral_baseline,0.07659574468085106,0.46681199362387643,0.09411735573654616,0.0106
43,local,2,row_norms,1.0,1.0,0.09411735573654616,0.0106
43,local,2,inverse_delta_l2,0.3148936170212766,0.6745718748244883,0.09411735573654616,0.0106
43,local,5,spectral_baseline,-0.0425531914893617,0.3820799977191012,0.3171372271822047,0.041
43,local,5,row_norms,0.4,0.7168345310256453,0.3171372271822047,0.041
43,local,5,inverse_delta_l2,0.10149253731343283,0.5194515188145173,0.3171372271822047,0.041
43,local,10,spectral_baseline,0.10909090909090909,0.48766453383551006,0.4540427984206095,0.0918
43,local,10,row_norms,0.05970149253731343,0.45073834408311025,0.4540427984206095,0.0918
43,local,10,inverse_delta_l2,0.07894736842105263,0.4709346934191691,0.4540427984206095,0.0918
43,local,20,spectral_baseline,0.17435897435897435,0.5321957376920892,0.534130832481657,0.12
43,local,20,row_norms,-0.031578947368421054,0.34417889681137126,0.534130832481657,0.12
43,local,20,inverse_delta_l2,0.26440677966101694,0.6753123489824708,0.534130832481657,0.12
43,mh,2,spectral_baseline,-0.01818181818181818,0.4040849584717698,0.060597929263596424,0.0083
43,mh,2,row_norms,0.25116279069767444,0.6192866581097115,0.060597929263596424,0.0083
43,mh,2,inverse_delta_l2,0.12093023255813953,0.4988278250217499,0.060597929263596424,0.0083
