arm,seed,round,validation_accuracy,mean_peer_rank,training_bytes_cumulative,training_adapter_bytes,training_head_bytes,training_metadata_bytes,rank_peer0,rank_peer1,rank_peer2,rank_peer3,rank_peer4,rank_peer5,rank_peer6,rank_peer7,rank_peer8,rank_peer9
declora16,42,1,91.62844036697248,16.0,94648900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,2,93.11926605504587,16.0,189297800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,3,93.69266055045871,16.0,283946700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,4,93.80733944954129,16.0,378595600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,5,94.15137614678899,16.0,473244500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,6,94.38073394495413,16.0,567893400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,7,93.69266055045871,16.0,662542300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,8,93.92201834862385,16.0,757191200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,9,93.57798165137615,16.0,851840100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,10,93.92201834862385,16.0,946489000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,11,93.80733944954129,16.0,1041137900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,12,93.80733944954129,16.0,1135786800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,13,94.03669724770643,16.0,1230435700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,14,94.26605504587155,16.0,1325084600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,15,93.92201834862385,16.0,1419733500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,16,94.38073394495413,16.0,1514382400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,17,94.15137614678899,16.0,1609031300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,18,94.03669724770643,16.0,1703680200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,19,94.15137614678899,16.0,1798329100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,42,20,94.61009174311927,16.0,1892978000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,1,91.62844036697248,16.0,94648900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,2,92.77522935779817,16.0,189297800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,3,93.23394495412845,16.0,283946700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,4,93.34862385321101,16.0,378595600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,5,93.34862385321101,16.0,473244500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,6,93.11926605504587,16.0,567893400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,7,93.69266055045871,16.0,662542300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,8,93.80733944954129,16.0,757191200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,9,93.80733944954129,16.0,851840100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,10,93.57798165137615,16.0,946489000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,11,93.80733944954129,16.0,1041137900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,12,94.15137614678899,16.0,1135786800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,13,94.03669724770643,16.0,1230435700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,14,93.80733944954129,16.0,1325084600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,15,93.92201834862385,16.0,1419733500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,16,94.03669724770643,16.0,1514382400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,17,94.26605504587155,16.0,1609031300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,18,94.38073394495413,16.0,1703680200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,19,94.4954128440367,16.0,1798329100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,43,20,94.38073394495413,16.0,1892978000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,1,91.28440366972477,16.0,94648900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,2,92.66055045871559,16.0,189297800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,3,93.34862385321101,16.0,283946700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,4,93.34862385321101,16.0,378595600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,5,93.23394495412845,16.0,473244500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,6,93.69266055045871,16.0,567893400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,7,93.92201834862385,16.0,662542300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,8,93.80733944954129,16.0,757191200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,9,94.03669724770643,16.0,851840100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,10,93.92201834862385,16.0,946489000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,11,93.80733944954129,16.0,1041137900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,12,94.15137614678899,16.0,1135786800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,13,93.46330275229357,16.0,1230435700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,14,94.15137614678899,16.0,1325084600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,15,94.26605504587155,16.0,1419733500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,16,94.4954128440367,16.0,1514382400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,17,93.80733944954129,16.0,1609031300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,18,94.72477064220183,16.0,1703680200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,19,94.38073394495413,16.0,1798329100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,44,20,94.61009174311927,16.0,1892978000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,1,91.5137614678899,16.0,94648900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,2,93.0045871559633,16.0,189297800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,3,93.34862385321101,16.0,283946700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
