arm,seed,best_accuracy,final_accuracy,best_round,training_bytes,production_bytes,training_adapter_bytes,training_head_bytes,training_metadata_bytes,total_steps,total_examples,probe_examples,rank_example_products,mean_final_rank,path
declora16,42,94.61009174311927,94.61009174311927,20,1892978000,2011288894,943718400,947408000,1851600,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed42
declora16,43,94.4954128440367,94.38073394495413,19,1892978000,2011288894,943718400,947408000,1851600,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed43
declora16,44,94.72477064220183,94.61009174311927,18,1892978000,2011288894,943718400,947408000,1851600,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed44
declora16,45,94.15137614678899,93.92201834862385,10,1892978000,2011288894,943718400,947408000,1851600,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed45
declora16,46,94.72477064220183,94.72477064220183,19,1892978000,2011288894,943718400,947408000,1851600,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed46
declora4,42,94.83944954128441,94.38073394495413,19,1185160400,1259232694,235929600,947408000,1822800,42200,1350400,0,5401600,4.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed42
declora4,43,94.26605504587155,94.26605504587155,20,1185160400,1259232694,235929600,947408000,1822800,42200,1350400,0,5401600,4.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed43
declora4,44,94.03669724770643,93.69266055045871,19,1185160400,1259232694,235929600,947408000,1822800,42200,1350400,0,5401600,4.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed44
declora4,45,94.72477064220183,94.72477064220183,10,1185160400,1259232694,235929600,947408000,1822800,42200,1350400,0,5401600,4.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed45
declora4,46,94.61009174311927,94.26605504587155,19,1185160400,1259232694,235929600,947408000,1822800,42200,1350400,0,5401600,4.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed46
product16_sample,42,94.72477064220183,94.26605504587155,16,1892978160,2011289454,943718400,947408000,1851760,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed42
product16_sample,43,94.83944954128441,94.4954128440367,18,1892978160,2011289454,943718400,947408000,1851760,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed43
product16_sample,44,94.4954128440367,94.15137614678899,18,1892978160,2011289454,943718400,947408000,1851760,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed44
product16_sample,45,94.95412844036697,94.72477064220183,13,1892978140,2011289434,943718400,947408000,1851740,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed45
product16_sample,46,94.61009174311927,94.4954128440367,15,1892978200,2011289494,943718400,947408000,1851800,42200,1350400,0,21606400,16.0,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-product16_sample-seed46
fixed_uniform,42,94.83944954128441,94.72477064220183,6,1468284560,1558872430,519045120,947408000,1831440,42200,1350400,0,11883520,8.8,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed42
fixed_uniform,43,94.26605504587155,94.26605504587155,20,1468284560,1558872430,519045120,947408000,1831440,42200,1350400,0,11883520,8.8,/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed43
