path,comparison_group,status,classification,track,task,arm,seed,primary_metric,n_train,n_validation,n_clients,best_round,best_primary,final_primary,best_accuracy,final_accuracy,best_f1,final_f1,total_steps,total_examples,total_probe_examples,training_bytes,evaluation_assembly_bytes,production_bytes,elapsed_seconds,source_sha256,split_sha256,capacity_scope,warnings,rounds_recorded,checkpoint_verification,checkpoint_verification_kind,checkpoint_verified_endpoints,checkpoint_files_present,error
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-equal-declora16-seed42,99281505a3d75619,complete,full_configured_budget,equal_size_paper_setting_anchor,sst2,declora16,42,accuracy,67349,872,10,20,94.15137614678899,94.15137614678899,94.15137614678899,94.15137614678899,94.30167597765363,94.30167597765363,42200,1346980,0,1892978000,2366211480,2011288894,8342.384191639721,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,38561e7895751952a982c5ab9ba0a8b5e1e8222749e2287c8c3960d357845e75,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,42,accuracy,67349,872,10,14,94.4954128440367,94.15137614678899,94.4954128440367,94.15137614678899,94.64285714285714,94.30167597765363,42200,1350400,12800,1290735840,1596752432,1371591198,8621.01482763514,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,43,accuracy,67349,872,10,11,93.92201834862385,93.69266055045871,93.92201834862385,93.69266055045871,94.07821229050279,93.82716049382717,42200,1350400,12800,1299584880,1603832216,1376901294,8549.102312132716,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,44,accuracy,67349,872,10,16,94.38073394495413,94.03669724770643,94.38073394495413,94.03669724770643,94.48818897637796,94.11764705882354,42200,1350400,12800,1286017776,1525970624,1360679670,8671.002695121802,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,45,accuracy,67349,872,10,11,94.38073394495413,93.80733944954129,94.38073394495413,93.80733944954129,94.47576099210823,93.95973154362416,42200,1350400,12800,1291916956,1505622128,1366578826,8588.644611292519,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,46,accuracy,67349,872,10,11,94.03669724770643,93.80733944954129,94.03669724770643,93.80733944954129,94.2350332594235,93.95973154362416,42200,1350400,12800,1286018056,1571096192,1364808862,8519.971817689016,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_uniform-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_uniform,42,accuracy,67349,872,10,6,94.26605504587155,93.11926605504587,94.26605504587155,93.11926605504587,94.38202247191012,93.25842696629213,42200,1350400,12800,1323179504,1631252664,1406393926,8590.637526509352,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_uniform-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_uniform,43,accuracy,67349,872,10,20,94.15137614678899,94.15137614678899,94.15137614678899,94.15137614678899,94.27609427609427,94.27609427609427,42200,1350400,12800,1291326800,1589078112,1370117398,8625.710337685421,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_uniform-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_uniform,44,accuracy,67349,872,10,8,94.26605504587155,93.92201834862385,94.26605504587155,93.92201834862385,94.38202247191012,94.02480270574972,42200,1350400,12800,1275400160,1513280448,1351241350,8582.549088264816,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_uniform-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_uniform,45,accuracy,67349,872,10,20,94.38073394495413,94.38073394495413,94.38073394495413,94.38073394495413,94.52513966480447,94.52513966480447,42200,1350400,12800,1296045632,1502369832,1369822606,8637.724335224368,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
