path,comparison_group,status,classification,track,task,arm,seed,primary_metric,n_train,n_validation,n_clients,best_round,best_primary,final_primary,best_accuracy,final_accuracy,best_f1,final_f1,total_steps,total_examples,total_probe_examples,training_bytes,evaluation_assembly_bytes,production_bytes,elapsed_seconds,source_sha256,split_sha256,capacity_scope,warnings,rounds_recorded,checkpoint_verification,checkpoint_verification_kind,checkpoint_verified_endpoints,checkpoint_files_present,error
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-equal-declora16-seed42,,incomplete,full_configured_budget,equal_size_paper_setting_anchor,sst2,declora16,42,accuracy,67349,872,10,,,,,,,,2110,67349,,94648900,118310574,,,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,38561e7895751952a982c5ab9ba0a8b5e1e8222749e2287c8c3960d357845e75,,"[""Training is incomplete; excluded from aggregate estimates and paired effects.""]",1,missing,,[],,
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_sample-seed42,,incomplete,full_configured_budget,quantity_skew_extension,sst2,adaptive_sample,42,accuracy,67349,872,10,,,,,,,,2110,67520,,73414236,90587950,,,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,,"[""Training is incomplete; excluded from aggregate estimates and paired effects.""]",1,missing,,[],,
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed42,,incomplete,full_configured_budget,quantity_skew_extension,sst2,declora16,42,accuracy,67349,872,10,,,,,,,,2110,67520,,94648900,118310574,,,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,,"[""Training is incomplete; excluded from aggregate estimates and paired effects.""]",1,missing,,[],,
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed42,,incomplete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,42,accuracy,67349,872,10,,,,,,,,2110,67520,,73414236,90587950,,,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,,"[""Training is incomplete; excluded from aggregate estimates and paired effects.""]",1,missing,,[],,
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-adaptive_sample,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,adaptive_sample,42,accuracy,640,872,10,4,52.522935779816514,52.522935779816514,52.522935779816514,52.522935779816514,68.15384615384616,68.15384615384616,80,2560,2464,285988852,352913048,367139150,46.89804649166763,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-adaptive_uniform,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,adaptive_uniform,42,accuracy,640,872,10,4,68.80733944954129,68.80733944954129,68.80733944954129,68.80733944954129,56.962025316455694,56.962025316455694,80,2560,2464,285988816,352912488,367138974,44.392648136243224,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-declora16,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,declora16,42,accuracy,640,872,10,4,68.0045871559633,68.0045871559633,68.0045871559633,68.0045871559633,55.072463768115945,55.072463768115945,80,2560,0,378595600,473242296,496906494,31.502009017392993,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,uniform-rank reference exceeds some declared client caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-declora4,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,declora4,42,accuracy,640,872,10,4,69.03669724770643,69.03669724770643,69.03669724770643,69.03669724770643,57.142857142857146,57.142857142857146,80,2560,0,237032080,296287896,311104374,29.309435311704874,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-fixed_sample,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,fixed_sample,42,accuracy,640,872,10,4,53.096330275229356,53.096330275229356,53.096330275229356,53.096330275229356,68.41698841698842,68.41698841698842,80,2560,0,293656948,362350760,384244958,32.66242078691721,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/smoke-v1-fixed_uniform,6923a7f12dc89d05,complete,smoke,quantity_skew_extension,sst2,fixed_uniform,42,accuracy,640,872,10,4,70.29816513761467,70.29816513761467,70.29816513761467,70.29816513761467,59.969088098918085,59.969088098918085,80,2560,0,293656912,362350200,384244782,32.02688851952553,db671264d9ff4f23f20cbacd08697632d2b68094043a4bbfa3ae11d51c654332,f46019783e00a41b5edb24e956be6c23b9cfa41ca7f9f4791559090a6c88f39c,training ranks within declared heterogeneous caps,[],4,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
