task,round,full_accuracy
CIFAR-CNN,1,23.3
CIFAR-CNN,2,32.62
CIFAR-CNN,3,32.18
CIFAR-CNN,4,31.63
CIFAR-CNN,5,31.48
Fashion-MLP,1,64.09
Fashion-MLP,2,61.87
Fashion-MLP,3,63.2
Fashion-MLP,4,53.84
Fashion-MLP,5,54.75
AGNews-LSTM,1,26.5
AGNews-LSTM,2,26.5
AGNews-LSTM,3,25.8
AGNews-LSTM,4,26.2
AGNews-LSTM,5,26.2
Tabular-MLP,1,75.0
Tabular-MLP,2,71.66666666666667
Tabular-MLP,3,55.0
Tabular-MLP,4,45.0
Tabular-MLP,5,81.66666666666667
Audio-1DCNN,1,3.5
Audio-1DCNN,2,3.5
Audio-1DCNN,3,3.5
Audio-1DCNN,4,3.5
Audio-1DCNN,5,3.5
