model_predictor,term,is_synthetic,standardized_beta,standard_error,r_squared,n
js_to_global,js_to_global,False,0.06631712504573568,0.11711262142493267,0.034351956473397394,75
js_to_global,adaptive_rank,False,0.013713469233663527,0.11715292896971713,0.034351956473397394,75
js_to_global,local_loss,False,-0.17138686635808886,0.11670577047475487,0.034351956473397394,75
kl_to_global,kl_to_global,False,0.07857259956730933,0.1168281281321131,0.03613131678657722,75
kl_to_global,adaptive_rank,False,0.01351778476367507,0.11688674616266645,0.03613131678657722,75
kl_to_global,local_loss,False,-0.17243683074611912,0.1165740656065179,0.03613131678657722,75
update_cosine_distance_to_mean,update_cosine_distance_to_mean,False,0.02239627912057649,0.11737873182485349,0.030487899158252008,75
update_cosine_distance_to_mean,adaptive_rank,False,0.0057290386585103735,0.11739863036811539,0.030487899158252008,75
update_cosine_distance_to_mean,local_loss,False,-0.17224438273811232,0.11694488110722831,0.030487899158252008,75
update_l2_distance_to_mean,update_l2_distance_to_mean,False,0.20989796063801866,0.11561951194006753,0.07302024920257089,75
update_l2_distance_to_mean,adaptive_rank,False,0.036030891386178335,0.11537617394119672,0.07302024920257089,75
update_l2_distance_to_mean,local_loss,False,-0.18700722325915195,0.1145897129159264,0.07302024920257089,75
