task,client_id,num_samples,raw_class_counts,class_frequency,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count
CIFAR-CNN,0,22198,"[1086, 2336, 1300, 4628, 927, 4441, 3990, 1592, 1587, 311]","[0.048923326425804124, 0.105234705829354, 0.058563834579691866, 0.20848725110370303, 0.04176051896567258, 0.200063068744932, 0.17974592305613118, 0.07171817280836111, 0.07149292729074691, 0.014010271195603207]",2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0
CIFAR-CNN,1,16849,"[3865, 323, 749, 205, 3897, 70, 713, 3172, 3410, 445]","[0.2293904682770491, 0.01917027716778444, 0.044453676776069796, 0.012166894177696006, 0.2312896907828358, 0.004154549231408392, 0.042317051457059766, 0.188260430886106, 0.20238589827289452, 0.026411062971096206]",1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0
CIFAR-CNN,2,10953,"[49, 2341, 2951, 167, 176, 489, 297, 236, 3, 4244]","[0.0044736601844243586, 0.21373139779055966, 0.2694239021272711, 0.015246964302017711, 0.0160686569889528, 0.04464530265680636, 0.027115858668857847, 0.021546608235186705, 0.0002738975623116954, 0.3874737514836118]",1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0
Fashion-MLP,0,26912,"[5477, 3353, 2062, 2018, 2091, 228, 1346, 3297, 5283, 1757]","[0.2035151605231867, 0.12459126040428062, 0.07662009512485136, 0.07498513674197384, 0.07769768133174793, 0.00847205707491082, 0.05001486325802616, 0.12251040428061831, 0.19630648038049942, 0.06528686087990487]",2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0
Fashion-MLP,1,12593,"[522, 2084, 637, 125, 3468, 4389, 1075, 7, 240, 46]","[0.04145160009529104, 0.16548876359882475, 0.05058365758754864, 0.00992614944810609, 0.27539109028825537, 0.34852695942190104, 0.08536488525371239, 0.0005558643690939411, 0.019058206940363694, 0.0036528229969030415]",1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0
Fashion-MLP,2,20495,"[1, 563, 3301, 3857, 441, 1383, 3579, 2696, 477, 4197]","[4.879238838741156e-05, 0.02747011466211271, 0.16106367406684557, 0.1881922420102464, 0.0215174432788485, 0.06747987313979019, 0.174627958038546, 0.13154427909246158, 0.023273969260795314, 0.20478165406196633]",1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0
AGNews-LSTM,0,2118,"[749, 847, 509, 13]","[0.35363550519357884, 0.39990557129367327, 0.24032105760151085, 0.006137865911237016]",1.1080309401859487,0.7992753712789019,65.15384615384616,0.2769537644775244,0.08734689230454898,0
AGNews-LSTM,1,1070,"[503, 96, 335, 136]","[0.4700934579439252, 0.08971962616822429, 0.3130841121495327, 0.12710280373831775]",1.1969194652479316,0.8633948884283305,5.239583333333333,0.1833023912447746,0.047456297781112586,0
AGNews-LSTM,2,1812,"[43, 297, 365, 1107]","[0.023730684326710817, 0.16390728476821192, 0.20143487858719647, 0.6109271523178808]",1.0090031131121435,0.7278418937642077,25.74418604651163,0.38156090714911167,0.10117479852539042,0
Tabular-MLP,0,102,"[77, 25]","[0.7549019607843137, 0.24509803921568626]",0.5568854299074213,0.8034158480707552,3.08,0.10220986022607734,0.026528802706868533,0
Tabular-MLP,1,11,"[0, 11]","[0.0, 1.0]",-0.0,-0.0,1.0,0.7675797753137856,0.23590539792666781,1
Tabular-MLP,2,124,"[50, 74]","[0.4032258064516129, 0.5967741935483871]",0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0
Audio-1DCNN,0,995,"[41, 15, 73, 46, 15, 1, 9, 1, 35, 45, 4, 0, 54, 72, 5, 24, 42, 37, 13, 4, 22, 8, 36, 14, 1, 53, 67, 2, 1, 72, 0, 36, 40, 19, 88]","[0.04120603015075377, 0.01507537688442211, 0.07336683417085427, 0.04623115577889447, 0.01507537688442211, 0.0010050251256281408, 0.009045226130653266, 0.0010050251256281408, 0.035175879396984924, 0.04522613065326633, 0.004020100502512563, 0.0, 0.054271356783919596, 0.07236180904522613, 0.005025125628140704, 0.024120603015075376, 0.04221105527638191, 0.0371859296482412, 0.01306532663316583, 0.004020100502512563, 0.022110552763819097, 0.008040201005025126, 0.036180904522613064, 0.01407035175879397, 0.0010050251256281408, 0.053266331658291456, 0.06733668341708543, 0.0020100502512562816, 0.0010050251256281408, 0.07236180904522613, 0.0, 0.036180904522613064, 0.04020100502512563, 0.019095477386934675, 0.08844221105527639]",3.124303233414624,0.8787615669071187,88.0,0.4228954210438237,0.11844608946329523,2
Audio-1DCNN,1,996,"[37, 8, 0, 40, 73, 31, 23, 68, 50, 24, 0, 36, 14, 4, 21, 5, 31, 37, 74, 22, 0, 89, 19, 21, 9, 32, 13, 15, 8, 24, 86, 13, 2, 59, 8]","[0.03714859437751004, 0.008032128514056224, 0.0, 0.040160642570281124, 0.07329317269076305, 0.03112449799196787, 0.023092369477911646, 0.06827309236947791, 0.050200803212851405, 0.024096385542168676, 0.0, 0.03614457831325301, 0.014056224899598393, 0.004016064257028112, 0.02108433734939759, 0.0050200803212851405, 0.03112449799196787, 0.03714859437751004, 0.07429718875502007, 0.02208835341365462, 0.0, 0.0893574297188755, 0.019076305220883535, 0.02108433734939759, 0.009036144578313253, 0.0321285140562249, 0.013052208835341365, 0.015060240963855422, 0.008032128514056224, 0.024096385542168676, 0.08634538152610442, 0.013052208835341365, 0.002008032128514056, 0.05923694779116466, 0.008032128514056224]",3.1784997965145143,0.8940052398647492,44.5,0.3512177291965753,0.09525202220768303,3
Audio-1DCNN,2,1009,"[18, 75, 2, 1, 9, 60, 54, 13, 10, 8, 82, 39, 34, 2, 46, 40, 6, 6, 3, 49, 52, 1, 19, 69, 69, 4, 4, 54, 76, 4, 10, 40, 48, 1, 1]","[0.017839444995044598, 0.07433102081268583, 0.0019821605550049554, 0.0009910802775024777, 0.008919722497522299, 0.05946481665014866, 0.053518334985133795, 0.01288404360753221, 0.009910802775024777, 0.007928642220019821, 0.08126858275520317, 0.03865213082259663, 0.03369672943508424, 0.0019821605550049554, 0.04558969276511397, 0.03964321110009911, 0.005946481665014866, 0.005946481665014866, 0.002973240832507433, 0.048562933597621406, 0.05153617443012884, 0.0009910802775024777, 0.018830525272547076, 0.06838453914767097, 0.06838453914767097, 0.003964321110009911, 0.003964321110009911, 0.053518334985133795, 0.0753221010901883, 0.003964321110009911, 0.009910802775024777, 0.03964321110009911, 0.04757185332011893, 0.0009910802775024777, 0.0009910802775024777]",3.0920934058984524,0.8697020242240661,82.0,0.47705218871900035,0.1319178201555412,0
