task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
CIFAR-CNN,1,0,False,dirichlet,0.5,42,16,66594,22198,2,1.5214812517166139,0.3965922805569957,2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0,0.06397532595370059,29.671634685952842,45.35485749106399,23.44,21.44,2.0
CIFAR-CNN,1,1,False,dirichlet,0.5,42,64,50547,16849,2,1.4430205583572389,0.4093293429640356,1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0,0.49318790850376004,17.50956328873453,17.813316349681138,23.44,26.53,-3.09
CIFAR-CNN,1,2,False,dirichlet,0.5,42,256,32859,10953,8,1.4308297872543334,0.4113821565143474,1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0,0.8645174378397651,17.70280513620848,6.2087846618233975,23.44,21.22,2.2200000000000024
CIFAR-CNN,2,0,False,dirichlet,0.5,42,16,66594,22198,2,1.5394638061523436,0.3937839151624473,2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0,0.10909749347490116,27.533656119933514,45.46761100624041,30.09,29.16,0.9299999999999997
CIFAR-CNN,2,1,False,dirichlet,0.5,42,64,50547,16849,2,1.2758289575576782,0.4394003322082504,1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0,0.2904952675001461,19.77874733441793,27.832839907589726,30.09,29.25,0.8399999999999999
CIFAR-CNN,2,2,False,dirichlet,0.5,42,256,32859,10953,8,1.013100230693817,0.49674625473335177,1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0,0.43537388404210287,18.421393364371617,11.750332795012008,30.09,27.01,3.0799999999999983
CIFAR-CNN,3,0,False,dirichlet,0.5,42,16,66594,22198,2,1.626481366157532,0.3807375193614915,2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0,0.1610933321231004,27.7336257411369,40.48425990162782,31.02,30.71,0.3099999999999987
CIFAR-CNN,3,1,False,dirichlet,0.5,42,64,50547,16849,2,1.2096805572509766,0.4525541018671413,1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0,0.4272355077710054,21.197641142148647,25.692587483190735,31.02,30.55,0.46999999999999886
CIFAR-CNN,3,2,False,dirichlet,0.5,42,256,32859,10953,8,0.948268127441406,0.5132763739831159,1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0,0.698739763164721,16.75206166889197,8.913128456785165,31.02,29.46,1.5599999999999987
CIFAR-CNN,4,0,False,dirichlet,0.5,42,16,66594,22198,2,1.3844164609909058,0.4193898240345247,2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0,0.1998615566866544,27.078208974312325,37.34691986100251,33.2,33.59,-0.39000000000000057
